CHG context (R2)
================
position	count methylated	count unmethylated	% methylation	coverage
1	8330	468520	1.75	476850
2	15234	527505	2.81	542739
3	45219	469193	8.79	514412
4	80590	336550	19.32	417140
5	83167	382103	17.87	465270
6	86619	388620	18.23	475239
7	86466	383691	18.39	470157
8	83699	382951	17.94	466650
9	81329	378766	17.68	460095
10	84475	382770	18.08	467245
11	83744	378177	18.13	461921
12	82117	374026	18.00	456143
13	82126	374173	18.00	456299
14	82654	374960	18.06	457614
15	81472	373020	17.93	454492
16	80991	371425	17.90	452416
17	82029	373000	18.03	455029
18	82325	370004	18.20	452329
19	81987	369260	18.17	451247
20	81603	371169	18.02	452772
21	80513	371489	17.81	452002
22	79943	368588	17.82	448531
23	80970	368785	18.00	449755
24	80676	368918	17.94	449594
25	80429	367356	17.96	447785
26	79733	366005	17.89	445738
27	80613	367817	17.98	448430
28	79940	365438	17.95	445378
29	79754	364746	17.94	444500
30	80860	365444	18.12	446304
31	79950	363360	18.03	443310
32	80709	363532	18.17	444241
33	80994	363377	18.23	444371
34	80809	362002	18.25	442811
35	81287	361229	18.37	442516
36	81821	361617	18.45	443438
37	81985	359084	18.59	441069
38	81791	359218	18.55	441009
39	81639	358503	18.55	440142
40	82319	356868	18.74	439187
41	82766	355921	18.87	438687
42	82606	355433	18.86	438039
43	82309	353317	18.89	435626
44	82387	354422	18.86	436809
45	82585	353832	18.92	436417
46	82679	351480	19.04	434159
47	81948	352249	18.87	434197
48	82506	351366	19.02	433872
49	82619	349673	19.11	432292
50	82453	348246	19.14	430699
51	82355	349726	19.06	432081
52	82674	347745	19.21	430419
53	81876	347300	19.08	429176
54	82361	347074	19.18	429435
55	82458	345909	19.25	428367
56	81862	345285	19.16	427147
57	82466	345608	19.26	428074
58	81719	343770	19.21	425489
59	81847	343611	19.24	425458
60	81899	343846	19.24	425745
61	81844	342651	19.28	424495
62	81196	341642	19.20	422838
63	82059	341053	19.39	423112
64	81426	340857	19.28	422283
65	81507	340207	19.33	421714
66	81170	338069	19.36	419239
67	81378	338748	19.37	420126
68	80920	338219	19.31	419139
69	80641	337442	19.29	418083
70	80780	336419	19.36	417199
71	80214	335541	19.29	415755
72	79968	334357	19.30	414325
73	80020	334087	19.32	414107
74	79594	333970	19.25	413564
75	79678	333258	19.30	412936
76	79142	330970	19.30	410112
77	79686	331703	19.37	411389
78	79334	330592	19.35	409926
79	79034	329683	19.34	408717
80	78313	328981	19.23	407294
81	78774	329044	19.32	407818
82	78008	327992	19.21	406000
83	78460	327047	19.35	405507
84	78460	326824	19.36	405284
85	78275	324118	19.45	402393
86	77733	324782	19.31	402515
87	78430	323673	19.50	402103
88	77159	321146	19.37	398305
89	77627	323187	19.37	400814
90	77175	320663	19.40	397838
91	77658	319980	19.53	397638
92	76957	319854	19.39	396811
93	77137	319214	19.46	396351
94	75709	316639	19.30	392348
95	76644	316612	19.49	393256
96	76199	316254	19.42	392453
97	75998	313791	19.50	389789
98	75879	312806	19.52	388685
99	76041	313381	19.53	389422
100	75394	311428	19.49	386822
