CHH context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	83596	1931942	4.15	2015538
2	78473	1646821	4.55	1725294
3	86029	1850947	4.44	1936976
4	78784	1896465	3.99	1975249
5	78833	1863274	4.06	1942107
6	78184	1884217	3.98	1962401
7	77965	1889108	3.96	1967073
8	79065	1898083	4.00	1977148
9	78373	1895386	3.97	1973759
10	76588	1892717	3.89	1969305
11	75495	1894685	3.83	1970180
12	76389	1906881	3.85	1983270
13	75507	1901499	3.82	1977006
14	75705	1910443	3.81	1986148
15	73796	1919431	3.70	1993227
16	74908	1915709	3.76	1990617
17	74943	1915128	3.77	1990071
18	76095	1922892	3.81	1998987
19	74655	1922583	3.74	1997238
20	83415	1862575	4.29	1945990
21	80786	1884997	4.11	1965783
22	75658	1916522	3.80	1992180
23	75025	1910403	3.78	1985428
24	74704	1918965	3.75	1993669
25	75503	1915661	3.79	1991164
26	74088	1918064	3.72	1992152
27	74925	1920889	3.75	1995814
28	73432	1923831	3.68	1997263
29	73441	1918847	3.69	1992288
30	73666	1921797	3.69	1995463
31	73811	1916746	3.71	1990557
32	75427	1904371	3.81	1979798
33	74159	1915752	3.73	1989911
34	81140	1887535	4.12	1968675
35	75514	1908861	3.81	1984375
36	73307	1923854	3.67	1997161
37	77260	1909544	3.89	1986804
38	73408	1918918	3.68	1992326
39	75471	1918647	3.78	1994118
40	74120	1918908	3.72	1993028
41	75039	1904633	3.79	1979672
42	72955	1912760	3.67	1985715
43	73195	1912568	3.69	1985763
44	72592	1908360	3.66	1980952
45	72424	1919255	3.64	1991679
46	78066	1887645	3.97	1965711
47	72299	1916321	3.64	1988620
48	71869	1919970	3.61	1991839
49	74639	1904048	3.77	1978687
50	74081	1903063	3.75	1977144
51	72879	1916978	3.66	1989857
52	72467	1913629	3.65	1986096
53	72935	1906235	3.69	1979170
54	73339	1904989	3.71	1978328
55	73465	1909859	3.70	1983324
56	72451	1910010	3.65	1982461
57	74101	1910083	3.73	1984184
58	72663	1916601	3.65	1989264
59	73997	1906313	3.74	1980310
60	72520	1914372	3.65	1986892
61	72395	1912679	3.65	1985074
62	72632	1904732	3.67	1977364
63	73050	1907822	3.69	1980872
64	72540	1908669	3.66	1981209
65	72105	1904179	3.65	1976284
66	72956	1910836	3.68	1983792
67	74350	1900849	3.76	1975199
68	72146	1908670	3.64	1980816
69	72382	1917212	3.64	1989594
70	73089	1914149	3.68	1987238
71	73352	1898898	3.72	1972250
72	72725	1908010	3.67	1980735
73	73385	1901294	3.72	1974679
74	72832	1898366	3.69	1971198
75	73202	1905649	3.70	1978851
76	72940	1901928	3.69	1974868
77	73296	1900702	3.71	1973998
78	73082	1910454	3.68	1983536
79	72479	1914015	3.65	1986494
80	72277	1907934	3.65	1980211
81	73142	1911473	3.69	1984615
82	75200	1894741	3.82	1969941
83	74377	1892717	3.78	1967094
84	73901	1893092	3.76	1966993
85	73238	1892329	3.73	1965567
86	73407	1889547	3.74	1962954
87	73809	1898056	3.74	1971865
88	72734	1902481	3.68	1975215
89	72231	1900926	3.66	1973157
90	73038	1904157	3.69	1977195
91	73241	1902919	3.71	1976160
92	72904	1898907	3.70	1971811
93	73785	1894236	3.75	1968021
94	73537	1890543	3.74	1964080
95	73239	1882477	3.74	1955716
96	73379	1889606	3.74	1962985
97	73205	1888507	3.73	1961712
98	73345	1889130	3.74	1962475
99	73582	1889402	3.75	1962984
100	73894	1886474	3.77	1960368
