CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	225195	268502	45.61	493697
2	214747	195534	52.34	410281
3	248105	272168	47.69	520273
4	235509	273769	46.24	509278
5	239492	265150	47.46	504642
6	245455	278023	46.89	523478
7	227830	260916	46.62	488746
8	234819	267066	46.79	501885
9	238373	274077	46.52	512450
10	231855	269520	46.24	501375
11	230331	267770	46.24	498101
12	236747	274257	46.33	511004
13	231573	267242	46.42	498815
14	232794	267199	46.56	499993
15	229837	271686	45.83	501523
16	232778	269652	46.33	502430
17	233879	268860	46.52	502739
18	235406	274797	46.14	510203
19	232432	273708	45.92	506140
20	235432	271891	46.41	507323
21	237628	275672	46.29	513300
22	235220	273247	46.26	508467
23	232895	271807	46.15	504702
24	234141	275519	45.94	509660
25	231434	272742	45.90	504176
26	230306	272666	45.79	502972
27	232296	277051	45.61	509347
28	231077	274901	45.67	505978
29	229175	275505	45.41	504680
30	233148	279946	45.44	513094
31	232404	276319	45.68	508723
32	233007	275590	45.81	508597
33	234168	278831	45.65	512999
34	230996	273208	45.81	504204
35	231223	273483	45.81	504706
36	232755	278254	45.55	511009
37	230625	273962	45.71	504587
38	230748	274252	45.69	505000
39	232152	279048	45.41	511200
40	232754	276910	45.67	509664
41	233026	276273	45.75	509299
42	230847	280143	45.18	510990
43	232291	277130	45.60	509421
44	232199	275277	45.76	507476
45	231548	278510	45.40	510058
46	231002	273574	45.78	504576
47	229733	274726	45.54	504459
48	230725	278690	45.29	509415
49	230862	277351	45.43	508213
50	230427	274680	45.62	505107
51	231728	279998	45.28	511726
52	231295	277067	45.50	508362
53	231686	277033	45.54	508719
54	231814	279394	45.35	511208
55	230316	276385	45.45	506701
56	228904	274518	45.47	503422
57	229605	278053	45.23	507658
58	229224	276132	45.36	505356
59	229481	275390	45.45	504871
60	231664	280116	45.27	511780
61	230651	277416	45.40	508067
62	231650	276550	45.58	508200
63	232227	280299	45.31	512526
64	231319	278674	45.36	509993
65	231149	275487	45.62	506636
66	232625	278642	45.50	511267
67	230059	276913	45.38	506972
68	229023	276095	45.34	505118
69	230518	279321	45.21	509839
70	229927	276370	45.41	506297
71	229833	276653	45.38	506486
72	232324	280982	45.26	513306
73	231100	277784	45.41	508884
74	230728	277336	45.41	508064
75	231151	279616	45.26	510767
76	230341	277048	45.40	507389
77	230681	276461	45.49	507142
78	231008	278622	45.33	509630
79	229972	278555	45.22	508527
80	230432	276754	45.43	507186
81	231378	279527	45.29	510905
82	230568	278939	45.25	509507
83	232003	277113	45.57	509116
84	233631	280183	45.47	513814
85	231911	276648	45.60	508559
86	231062	276516	45.52	507578
87	232607	278725	45.49	511332
88	230524	276665	45.45	507189
89	229067	275632	45.39	504699
90	231634	279755	45.30	511389
91	230356	277332	45.37	507688
92	231562	276370	45.59	507932
93	232923	281394	45.29	514317
94	231857	278503	45.43	510360
95	231366	277353	45.48	508719
96	231733	280773	45.22	512506
97	231548	277171	45.52	508719
98	230059	276290	45.43	506349
99	231768	279112	45.37	510880
100	229775	277205	45.32	506980

CHG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	85717	385627	18.19	471344
2	92754	352992	20.81	445746
3	98075	411826	19.23	509901
4	90803	412279	18.05	503082
5	95689	417099	18.66	512788
6	95232	408554	18.90	503786
7	94343	410777	18.68	505120
8	95155	420606	18.45	515761
9	96008	415443	18.77	511451
10	93343	415433	18.35	508776
11	93666	418513	18.29	512179
12	94302	413929	18.55	508231
13	94262	413168	18.58	507430
14	93973	417007	18.39	510980
15	93770	416344	18.38	510114
16	94766	418030	18.48	512796
17	94685	422474	18.31	517159
18	95224	420342	18.47	515566
19	94210	422215	18.24	516425
20	97536	413137	19.10	510673
21	97000	414713	18.96	511713
22	95192	419780	18.48	514972
23	95149	421891	18.40	517040
24	94272	420046	18.33	514318
25	93857	417342	18.36	511199
26	94266	421565	18.27	515831
27	94141	421699	18.25	515840
28	94550	423161	18.26	517711
29	93255	427486	17.91	520741
30	94685	425638	18.20	520323
31	95205	424533	18.32	519738
32	95729	423288	18.44	519017
33	94660	423785	18.26	518445
34	95759	415489	18.73	511248
35	94821	422616	18.33	517437
36	94623	422708	18.29	517331
37	95047	419814	18.46	514861
38	95004	424424	18.29	519428
39	95582	424375	18.38	519957
40	94601	424432	18.23	519033
41	94835	424939	18.25	519774
42	93805	424106	18.11	517911
43	94218	423172	18.21	517390
44	94614	424162	18.24	518776
45	94246	422960	18.22	517206
46	95106	415256	18.64	510362
47	93931	423021	18.17	516952
48	93541	425191	18.03	518732
49	94074	419518	18.32	513592
50	94155	422632	18.22	516787
51	94487	425389	18.17	519876
52	94586	425908	18.17	520494
53	94977	424951	18.27	519928
54	94876	420889	18.40	515765
55	94003	421025	18.25	515028
56	93911	422639	18.18	516550
57	93592	421956	18.15	515548
58	93989	423026	18.18	517015
59	94300	424189	18.19	518489
60	93600	423799	18.09	517399
61	94411	424855	18.18	519266
62	94237	425826	18.12	520063
63	94696	424023	18.26	518719
64	93605	422178	18.15	515783
65	94161	423521	18.19	517682
66	94738	421574	18.35	516312
67	93657	419456	18.25	513113
68	94069	424440	18.14	518509
69	93269	423437	18.05	516706
70	93770	423109	18.14	516879
71	94248	424743	18.16	518991
72	94741	424195	18.26	518936
73	93812	421474	18.21	515286
74	94162	423046	18.21	517208
75	93808	422642	18.16	516450
76	94645	421430	18.34	516075
77	94382	421825	18.28	516207
78	93730	422150	18.17	515880
79	93645	421740	18.17	515385
80	93915	425615	18.08	519530
81	93759	423995	18.11	517754
82	94628	422236	18.31	516864
83	94112	424844	18.13	518956
84	94410	422714	18.26	517124
85	93556	420188	18.21	513744
86	93769	420611	18.23	514380
87	94215	420506	18.30	514721
88	93607	420501	18.21	514108
89	93811	422282	18.18	516093
90	93380	423242	18.08	516622
91	94112	423484	18.18	517596
92	94021	424674	18.13	518695
93	93948	423666	18.15	517614
94	94124	422460	18.22	516584
95	94049	422680	18.20	516729
96	93740	421468	18.19	515208
97	94035	420085	18.29	514120
98	93485	421021	18.17	514506
99	94000	421101	18.25	515101
100	93788	419249	18.28	513037

CHH context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	78695	2086331	3.63	2165026
2	79541	1899441	4.02	1978982
3	88807	2144441	3.98	2233248
4	81155	2172482	3.60	2253637
5	81613	2140734	3.67	2222347
6	82300	2168484	3.66	2250784
7	81931	2161011	3.65	2242942
8	82332	2178015	3.64	2260347
9	82990	2173041	3.68	2256031
10	81055	2164708	3.61	2245763
11	80456	2165723	3.58	2246179
12	81334	2177957	3.60	2259291
13	81153	2173920	3.60	2255073
14	81110	2183131	3.58	2264241
15	79430	2193011	3.50	2272441
16	80958	2190125	3.56	2271083
17	81121	2193543	3.57	2274664
18	82246	2201579	3.60	2283825
19	80280	2198403	3.52	2278683
20	90070	2134916	4.05	2224986
21	87921	2158909	3.91	2246830
22	81876	2193059	3.60	2274935
23	80939	2189551	3.56	2270490
24	81069	2200569	3.55	2281638
25	83141	2191565	3.66	2274706
26	80059	2196512	3.52	2276571
27	83181	2201535	3.64	2284716
28	80528	2204855	3.52	2285383
29	79631	2198915	3.49	2278546
30	80703	2203371	3.53	2284074
31	80601	2199045	3.54	2279646
32	83365	2182212	3.68	2265577
33	81098	2198270	3.56	2279368
34	89298	2163223	3.96	2252521
35	82326	2185709	3.63	2268035
36	80733	2204913	3.53	2285646
37	83979	2184974	3.70	2268953
38	80297	2196634	3.53	2276931
39	82239	2200767	3.60	2283006
40	80544	2198945	3.53	2279489
41	81269	2182744	3.59	2264013
42	79633	2191918	3.51	2271551
43	80001	2189311	3.53	2269312
44	79791	2183768	3.53	2263559
45	80085	2194371	3.52	2274456
46	86112	2157733	3.84	2243845
47	79654	2191047	3.51	2270701
48	79011	2199821	3.47	2278832
49	82649	2179360	3.65	2262009
50	81901	2178907	3.62	2260808
51	79955	2199091	3.51	2279046
52	79523	2191530	3.50	2271053
53	81070	2182168	3.58	2263238
54	81214	2182260	3.59	2263474
55	80246	2189785	3.54	2270031
56	79487	2190102	3.50	2269589
57	81503	2190758	3.59	2272261
58	79731	2196573	3.50	2276304
59	80940	2185831	3.57	2266771
60	79500	2196959	3.49	2276459
61	79769	2191885	3.51	2271654
62	79858	2184004	3.53	2263862
63	79671	2188111	3.51	2267782
64	79517	2183431	3.51	2262948
65	79892	2181785	3.53	2261677
66	80076	2188269	3.53	2268345
67	81382	2175028	3.61	2256410
68	78839	2186019	3.48	2264858
69	79117	2198721	3.47	2277838
70	79921	2192081	3.52	2272002
71	80523	2173467	3.57	2253990
72	79531	2185848	3.51	2265379
73	80458	2176180	3.57	2256638
74	79478	2173462	3.53	2252940
75	80625	2182534	3.56	2263159
76	80292	2175804	3.56	2256096
77	80373	2176706	3.56	2257079
78	80433	2189158	3.54	2269591
79	79952	2190057	3.52	2270009
80	79061	2181747	3.50	2260808
81	80066	2186917	3.53	2266983
82	82064	2167776	3.65	2249840
83	81140	2166104	3.61	2247244
84	81842	2170932	3.63	2252774
85	80908	2165999	3.60	2246907
86	80644	2162641	3.59	2243285
87	80936	2174607	3.59	2255543
88	80046	2177519	3.55	2257565
89	79831	2176148	3.54	2255979
90	79450	2181307	3.51	2260757
91	79738	2177512	3.53	2257250
92	79759	2175651	3.54	2255410
93	80365	2171742	3.57	2252107
94	80801	2163725	3.60	2244526
95	80579	2157276	3.60	2237855
96	81069	2161152	3.62	2242221
97	80826	2163845	3.60	2244671
98	80614	2162150	3.59	2242764
99	81283	2166411	3.62	2247694
100	81566	2159585	3.64	2241151

CpG context (R2)
================
position	count methylated	count unmethylated	% methylation	coverage
1	11074	884539	1.24	895613
2	16039	564369	2.76	580408
3	157736	299998	34.46	457734
4	238659	334771	41.62	573430
5	248936	317757	43.93	566693
6	241807	309368	43.87	551175
7	247224	319902	43.59	567126
8	215222	307005	41.21	522227
9	228317	305863	42.74	534180
10	229275	308889	42.60	538164
11	222744	303322	42.34	526066
12	220966	297906	42.59	518872
13	223917	301379	42.63	525296
14	220349	298088	42.50	518437
15	218787	294368	42.64	513155
16	222752	297203	42.84	519955
17	220847	295048	42.81	515895
18	221910	291122	43.25	513032
19	223890	293506	43.27	517396
20	218496	295086	42.54	513582
21	218478	293158	42.70	511636
22	219989	295242	42.70	515231
23	219855	291997	42.95	511852
24	218683	290496	42.95	509179
25	218865	292124	42.83	510989
26	218884	291086	42.92	509970
27	217982	289332	42.97	507314
28	218960	290890	42.95	509850
29	218574	289441	43.03	508015
30	217926	285668	43.27	503594
31	217908	288998	42.99	506906
32	218748	285413	43.39	504161
33	218049	282970	43.52	501019
34	219742	283757	43.64	503499
35	219767	281378	43.85	501145
36	219302	278222	44.08	497524
37	221503	279974	44.17	501477
38	221253	277345	44.38	498598
39	222255	275819	44.62	498074
40	223474	276000	44.74	499474
41	221345	273900	44.69	495245
42	223038	272230	45.03	495268
43	223354	271798	45.11	495152
44	222417	270851	45.09	493268
45	223073	268786	45.35	491859
46	223639	269289	45.37	492928
47	222373	267739	45.37	490112
48	223714	265074	45.77	488788
49	223634	267033	45.58	490667
50	223637	265935	45.68	489572
51	222831	263636	45.81	486467
52	223014	264880	45.71	487894
53	222916	263465	45.83	486381
