CHG context (R2)
================
position	count methylated	count unmethylated	% methylation	coverage
1	8545	677124	1.25	685669
2	24132	896549	2.62	920681
3	68055	649655	9.48	717710
4	135119	500924	21.24	636043
5	140408	596110	19.06	736518
6	144670	588741	19.73	733411
7	144192	584633	19.78	728825
8	139253	585248	19.22	724501
9	134481	573067	19.01	707548
10	140383	576889	19.57	717272
11	139885	572740	19.63	712625
12	137372	562505	19.63	699877
13	137979	561857	19.72	699836
14	139411	567002	19.74	706413
15	136454	560964	19.57	697418
16	137171	560223	19.67	697394
17	138962	564272	19.76	703234
18	138562	559607	19.85	698169
19	138724	559344	19.87	698068
20	138652	564829	19.71	703481
21	136253	562295	19.51	698548
22	136405	557763	19.65	694168
23	137455	558728	19.74	696183
24	136868	558592	19.68	695460
25	136211	556398	19.67	692609
26	136584	558237	19.66	694821
27	135058	556286	19.54	691344
28	135436	554926	19.62	690362
29	136205	557491	19.63	693696
30	135552	555205	19.62	690757
31	136619	554466	19.77	691085
32	136596	555809	19.73	692405
33	136597	555188	19.75	691785
34	136801	550824	19.89	687625
35	137890	551613	20.00	689503
36	138199	550348	20.07	688547
37	137273	547335	20.05	684608
38	138681	548581	20.18	687262
39	137948	546369	20.16	684317
40	139403	544890	20.37	684293
41	139356	544948	20.36	684304
42	139226	542255	20.43	681481
43	139817	541025	20.54	680842
44	139342	542446	20.44	681788
45	140124	542021	20.54	682145
46	139396	537983	20.58	677379
47	139844	538017	20.63	677861
48	139292	538074	20.56	677366
49	140070	534545	20.76	674615
50	139489	535980	20.65	675469
51	139896	533973	20.76	673869
52	139504	531813	20.78	671317
53	138757	534082	20.62	672839
54	138637	532052	20.67	670689
55	138008	529241	20.68	667249
56	139094	529954	20.79	669048
57	138744	530001	20.75	668745
58	138835	528269	20.81	667104
59	138468	528301	20.77	666769
60	138288	525598	20.83	663886
61	137583	524837	20.77	662420
62	138501	524709	20.88	663210
63	138577	523525	20.93	662102
64	138399	522967	20.93	661366
65	137703	522645	20.85	660348
66	137118	519890	20.87	657008
67	136910	518014	20.90	654924
68	137613	520362	20.91	657975
69	135900	518165	20.78	654065
70	136256	515487	20.91	651743
71	136075	516076	20.87	652151
72	134553	516843	20.66	651396
73	135491	513669	20.87	649160
74	134931	512841	20.83	647772
75	134491	511709	20.81	646200
76	134098	508647	20.86	642745
77	133991	509694	20.82	643685
78	133518	509998	20.75	643516
79	133058	505895	20.82	638953
80	133053	506874	20.79	639927
81	132623	506171	20.76	638794
82	132450	501146	20.90	633596
83	132585	504166	20.82	636751
84	132119	501478	20.85	633597
85	131852	498336	20.92	630188
86	131786	498192	20.92	629978
87	131658	497657	20.92	629315
88	130766	494854	20.90	625620
89	130425	496862	20.79	627287
90	129856	492235	20.87	622091
91	129690	491609	20.87	621299
92	129655	491252	20.88	620907
93	129950	491130	20.92	621080
94	129176	487165	20.96	616341
95	128986	486692	20.95	615678
96	128243	484382	20.93	612625
97	128128	481212	21.03	609340
98	128232	480182	21.08	608414
99	127946	481256	21.00	609202
100	127148	476716	21.06	603864
