CHH context (R2)
================
position	count methylated	count unmethylated	% methylation	coverage
1	37001	2945099	1.24	2982100
2	28986	2676939	1.07	2705925
3	60998	2664000	2.24	2724998
4	85279	2751979	3.01	2837258
5	84432	2668911	3.07	2753343
6	85256	2697660	3.06	2782916
7	90248	2778189	3.15	2868437
8	87707	2678417	3.17	2766124
9	96080	2715256	3.42	2811336
10	99011	2742061	3.48	2841072
11	100705	2742794	3.54	2843499
12	102015	2745548	3.58	2847563
13	103855	2764644	3.62	2868499
14	104364	2769993	3.63	2874357
15	104609	2779027	3.63	2883636
16	105815	2805511	3.63	2911326
17	105677	2805070	3.63	2910747
18	107643	2807298	3.69	2914941
19	107555	2813147	3.68	2920702
20	105637	2809945	3.62	2915582
21	105179	2815048	3.60	2920227
22	104566	2820647	3.57	2925213
23	105540	2812502	3.62	2918042
24	105153	2818060	3.60	2923213
25	104743	2826638	3.57	2931381
26	104895	2822607	3.58	2927502
27	104534	2827700	3.56	2932234
28	105669	2837237	3.59	2942906
29	105428	2827007	3.60	2932435
30	105917	2823985	3.62	2929902
31	105398	2830921	3.59	2936319
32	104899	2819638	3.59	2924537
33	105646	2821918	3.61	2927564
34	107199	2829919	3.65	2937118
35	106406	2823551	3.63	2929957
36	106187	2827279	3.62	2933466
37	106764	2825216	3.64	2931980
38	105786	2820018	3.62	2925804
39	106840	2816204	3.66	2923044
40	106732	2814203	3.65	2920935
41	106014	2802356	3.65	2908370
42	105982	2802643	3.64	2908625
43	106434	2801411	3.66	2907845
44	106954	2794080	3.69	2901034
45	106467	2795506	3.67	2901973
46	106378	2793915	3.67	2900293
47	106354	2785118	3.68	2891472
48	106984	2783127	3.70	2890111
49	106372	2787259	3.68	2893631
50	106422	2777970	3.69	2884392
51	106313	2773121	3.69	2879434
52	106641	2770157	3.71	2876798
53	106054	2764136	3.70	2870190
54	106072	2762004	3.70	2868076
55	106177	2761290	3.70	2867467
56	105937	2753830	3.70	2859767
57	105842	2753487	3.70	2859329
58	105890	2754880	3.70	2860770
59	105397	2744131	3.70	2849528
60	106130	2741227	3.73	2847357
61	105201	2738446	3.70	2843647
62	105289	2726129	3.72	2831418
63	104966	2722640	3.71	2827606
64	104994	2719187	3.72	2824181
65	104747	2709308	3.72	2814055
66	104548	2705967	3.72	2810515
67	104534	2707216	3.72	2811750
68	104697	2697932	3.74	2802629
69	104758	2697215	3.74	2801973
70	104319	2696056	3.73	2800375
71	103939	2686428	3.72	2790367
72	103570	2682789	3.72	2786359
73	103635	2682119	3.72	2785754
74	104897	2666331	3.79	2771228
75	103006	2667209	3.72	2770215
76	103227	2664319	3.73	2767546
77	103194	2657563	3.74	2760757
78	102992	2654245	3.74	2757237
79	102942	2650497	3.74	2753439
80	102585	2641825	3.74	2744410
81	102791	2635500	3.75	2738291
82	102618	2634260	3.75	2736878
83	102759	2617456	3.78	2720215
84	101964	2610893	3.76	2712857
85	102155	2604794	3.77	2706949
86	102540	2595988	3.80	2698528
87	102221	2594721	3.79	2696942
88	102217	2589430	3.80	2691647
89	102097	2583099	3.80	2685196
90	101690	2573123	3.80	2674813
91	101898	2572051	3.81	2673949
92	100903	2558179	3.79	2659082
93	100777	2552211	3.80	2652988
94	101003	2546716	3.81	2647719
95	100797	2533740	3.83	2634537
96	101521	2526222	3.86	2627743
97	101508	2523387	3.87	2624895
98	101227	2509415	3.88	2610642
99	101584	2502475	3.90	2604059
100	100936	2500094	3.88	2601030
