CpG context (R2)
================
position	count methylated	count unmethylated	% methylation	coverage
1	3752	369443	1.01	373195
2	6014	207067	2.82	213081
3	64553	106709	37.69	171262
4	100387	119566	45.64	219953
5	105030	110606	48.71	215636
6	103063	107844	48.87	210907
7	106599	114024	48.32	220623
8	91972	108050	45.98	200022
9	98701	107959	47.76	206660
10	100260	109291	47.85	209551
11	97246	106785	47.66	204031
12	96445	105218	47.82	201663
13	98511	106757	47.99	205268
14	96757	104741	48.02	201498
15	96860	104462	48.11	201322
16	98107	105899	48.09	204006
17	97247	104865	48.12	202112
18	98164	103370	48.71	201534
19	99190	104928	48.59	204118
20	97137	104854	48.09	201991
21	96315	104932	47.86	201247
22	98207	104766	48.38	202973
23	97322	103224	48.53	200546
24	96200	102606	48.39	198806
25	96872	104136	48.19	201008
26	96649	103165	48.37	199814
27	96751	102934	48.45	199685
28	96919	103512	48.36	200431
29	96462	103096	48.34	199558
30	96986	101610	48.84	198596
31	96105	102568	48.37	198673
32	95934	102192	48.42	198126
33	95714	100607	48.75	196321
34	97133	101306	48.95	198439
35	96493	99764	49.17	196257
36	96525	98481	49.50	195006
37	97292	99968	49.32	197260
38	97773	98427	49.83	196200
39	97397	97983	49.85	195380
40	98152	98630	49.88	196782
41	97741	97548	50.05	195289
42	97287	96848	50.11	194135
43	98440	96748	50.43	195188
44	98263	96116	50.55	194379
45	97088	95433	50.43	192521
46	98532	95796	50.70	194328
47	97558	95834	50.45	193392
48	98077	94481	50.93	192558
49	97704	95808	50.49	193512
50	96869	95193	50.44	192062
51	97179	93502	50.96	190681
52	97661	94300	50.88	191961
53	96726	93725	50.79	190451
54	96038	92864	50.84	188902
55	96968	94180	50.73	191148
56	96506	93134	50.89	189640
57	96461	92646	51.01	189107
58	96116	92953	50.84	189069
59	96723	92424	51.14	189147
60	96100	91875	51.12	187975
61	96395	92829	50.94	189224
62	96890	91934	51.31	188824
63	94938	91699	50.87	186637
64	96512	91961	51.21	188473
65	95210	90915	51.15	186125
66	94713	90270	51.20	184983
67	95423	91590	51.02	187013
68	94949	90430	51.22	185379
69	94715	89670	51.37	184385
70	94960	91172	51.02	186132
71	95157	90438	51.27	185595
72	93920	89100	51.32	183020
73	94395	89966	51.20	184361
74	94213	89058	51.41	183271
75	93309	88885	51.21	182194
76	93626	89085	51.24	182711
77	93310	89523	51.04	182833
78	92976	87951	51.39	180927
79	93368	88944	51.21	182312
80	92692	87606	51.41	180298
81	92090	87840	51.18	179930
82	92241	88008	51.17	180249
83	91559	87517	51.13	179076
84	91593	86458	51.44	178051
85	92185	86995	51.45	179180
86	90760	85863	51.39	176623
87	91191	85477	51.62	176668
88	91663	86246	51.52	177909
89	90371	86309	51.15	176680
90	89972	85042	51.41	175014
91	90283	85228	51.44	175511
92	89510	85306	51.20	174816
93	89418	84439	51.43	173857
94	89149	84372	51.38	173521
95	88836	83627	51.51	172463
96	88577	83365	51.52	171942
97	88823	83866	51.44	172689
98	87630	82908	51.38	170538
99	87177	81957	51.54	169134
100	87462	83194	51.25	170656
