CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	95585	93108	50.66	188693
2	92407	68579	57.40	160986
3	109825	97280	53.03	207105
4	101837	97202	51.16	199039
5	104517	94130	52.61	198647
6	107742	99610	51.96	207352
7	99463	92614	51.78	192077
8	102618	94867	51.96	197485
9	103865	97698	51.53	201563
10	101647	95360	51.60	197007
11	100906	95524	51.37	196430
12	103552	97364	51.54	200916
13	101054	94806	51.60	195860
14	101932	95064	51.74	196996
15	101241	97310	50.99	198551
16	102365	96385	51.50	198750
17	102875	96548	51.59	199423
18	103460	98289	51.28	201749
19	101991	98321	50.92	200312
20	104731	96515	52.04	201246
21	104137	98280	51.45	202417
22	103768	97506	51.56	201274
23	102462	96980	51.37	199442
24	103342	99154	51.03	202496
25	101710	97254	51.12	198964
26	102028	97671	51.09	199699
27	101718	99382	50.58	201100
28	102092	98398	50.92	200490
29	100715	98804	50.48	199519
30	102701	99534	50.78	202235
31	102377	98586	50.94	200963
32	102401	98144	51.06	200545
33	103569	99520	51.00	203089
34	102990	98484	51.12	201474
35	101873	97762	51.03	199635
36	102054	99162	50.72	201216
37	101548	98222	50.83	199770
38	102002	98561	50.86	200563
39	102767	100123	50.65	202890
40	102367	98321	51.01	200688
41	102399	98141	51.06	200540
42	101398	99966	50.36	201364
43	102311	99088	50.80	201399
44	102217	98022	51.05	200239
45	100925	99807	50.28	200732
46	101555	97764	50.95	199319
47	101549	98559	50.75	200108
48	101298	99620	50.42	200918
49	101298	98762	50.63	200060
50	101595	98153	50.86	199748
51	101763	99556	50.55	201319
52	101656	98942	50.68	200598
53	101553	99291	50.56	200844
54	102569	99654	50.72	202223
55	101306	98587	50.68	199893
56	101120	98715	50.60	199835
57	101164	99700	50.36	200864
58	100554	98190	50.59	198744
59	100994	98898	50.52	199892
60	101924	100184	50.43	202108
61	101243	99334	50.48	200577
62	101373	98962	50.60	200335
63	101822	99535	50.57	201357
64	101707	99817	50.47	201524
65	101465	98410	50.76	199875
66	102106	99364	50.68	201470
67	101016	99034	50.50	200050
68	101168	98997	50.54	200165
69	101770	99683	50.52	201453
70	101657	99161	50.62	200818
71	101483	99101	50.59	200584
72	102028	100406	50.40	202434
73	101715	99650	50.51	201365
74	101495	98825	50.67	200320
75	102357	99542	50.70	201899
76	101179	99306	50.47	200485
77	101611	98472	50.78	200083
78	102204	99978	50.55	202182
79	101138	99175	50.49	200313
80	101464	99342	50.53	200806
81	101257	100083	50.29	201340
82	101898	99254	50.66	201152
83	102247	99212	50.75	201459
84	102407	99960	50.60	202367
85	102172	99436	50.68	201608
86	102508	98467	51.01	200975
87	102205	99254	50.73	201459
88	102003	99207	50.69	201210
89	101091	98757	50.58	199848
90	102352	100964	50.34	203316
91	101737	99194	50.63	200931
92	102004	98972	50.75	200976
93	103028	100115	50.72	203143
94	102074	99616	50.61	201690
95	102097	98768	50.83	200865
96	103266	99962	50.81	203228
97	101766	98978	50.69	200744
98	102222	98657	50.89	200879
99	102377	99521	50.71	201898
100	102405	98785	50.90	201190

CHG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	38023	142281	21.09	180304
2	42119	133813	23.94	175932
3	45348	155079	22.63	200427
4	41331	155640	20.98	196971
5	43855	157962	21.73	201817
6	43800	154573	22.08	198373
7	42828	154884	21.66	197712
8	43825	159219	21.58	203044
9	43457	157066	21.67	200523
10	42877	157026	21.45	199903
11	42571	158389	21.18	200960
12	43019	157153	21.49	200172
13	43022	156178	21.60	199200
14	43324	157372	21.59	200696
15	42944	158231	21.35	201175
16	43299	158015	21.51	201314
17	43178	160214	21.23	203392
18	43789	159787	21.51	203576
19	43168	160353	21.21	203521
20	44815	154349	22.50	199164
21	44425	155460	22.23	199885
22	43469	159007	21.47	202476
23	43632	159922	21.44	203554
24	43239	159281	21.35	202520
25	43010	159358	21.25	202368
26	43250	160394	21.24	203644
27	43049	159592	21.24	202641
28	43612	159906	21.43	203518
29	42727	160531	21.02	203258
30	43582	161944	21.21	205526
31	43833	161199	21.38	205032
32	43205	160832	21.18	204037
33	43161	160754	21.17	203915
34	43529	159752	21.41	203281
35	43041	160334	21.16	203375
36	42850	159994	21.12	202844
37	43284	160065	21.29	203349
38	43337	161585	21.15	204922
39	43864	160655	21.45	204519
40	43547	159494	21.45	203041
41	43095	160604	21.16	203699
42	42924	161059	21.04	203983
43	43618	159938	21.43	203556
44	43379	160512	21.28	203891
45	43045	160474	21.15	203519
46	43606	156624	21.78	200230
47	42693	159924	21.07	202617
48	43083	160401	21.17	203484
49	42978	158009	21.38	200987
50	42952	159616	21.20	202568
51	43537	160927	21.29	204464
52	43616	160656	21.35	204272
53	43473	160142	21.35	203615
54	43152	159540	21.29	202692
55	43232	159702	21.30	202934
56	43112	160426	21.18	203538
57	43211	159685	21.30	202896
58	43118	159969	21.23	203087
59	42928	160745	21.08	203673
60	42985	160960	21.08	203945
61	43587	161287	21.28	204874
62	43474	160972	21.26	204446
63	43102	161390	21.08	204492
64	42947	159410	21.22	202357
65	43122	160046	21.22	203168
66	43444	159887	21.37	203331
67	43423	158456	21.51	201879
68	42907	160418	21.10	203325
69	42525	159921	21.01	202446
70	43235	160059	21.27	203294
71	42847	159866	21.14	202713
72	43132	160402	21.19	203534
73	42912	158979	21.26	201891
74	43278	160590	21.23	203868
75	43171	159994	21.25	203165
76	43309	158715	21.44	202024
77	43345	159940	21.32	203285
78	42733	159063	21.18	201796
79	43058	160210	21.18	203268
80	42722	159980	21.08	202702
81	43094	159483	21.27	202577
82	43461	159957	21.37	203418
83	43413	160311	21.31	203724
84	43144	159349	21.31	202493
85	43267	159289	21.36	202556
86	43288	158987	21.40	202275
87	42945	159044	21.26	201989
88	43324	159307	21.38	202631
89	43305	159998	21.30	203303
90	42955	160325	21.13	203280
91	42927	159912	21.16	202839
92	42983	159862	21.19	202845
93	43339	159642	21.35	202981
94	43187	159437	21.31	202624
95	43353	158557	21.47	201910
96	43199	158615	21.41	201814
97	42983	158751	21.31	201734
98	43229	158375	21.44	201604
99	43163	159112	21.34	202275
100	42919	158536	21.30	201455

CHH context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	28928	821382	3.40	850310
2	29568	756813	3.76	786381
3	33624	849107	3.81	882731
4	29682	862143	3.33	891825
5	29653	848739	3.38	878392
6	30210	858190	3.40	888400
7	29941	852868	3.39	882809
8	30259	861466	3.39	891725
9	30022	861120	3.37	891142
10	29365	854401	3.32	883766
11	29380	855467	3.32	884847
12	30123	861443	3.38	891566
13	29431	861071	3.30	890502
14	29753	863404	3.33	893157
15	29124	866985	3.25	896109
16	29563	864890	3.31	894453
17	29597	868501	3.30	898098
18	30184	870105	3.35	900289
19	28932	867362	3.23	896294
20	35934	833116	4.13	869050
21	34398	846461	3.91	880859
22	29782	867311	3.32	897093
23	29888	865671	3.34	895559
24	29707	869158	3.30	898865
25	29419	867702	3.28	897121
26	29421	865622	3.29	895043
27	29762	872304	3.30	902066
28	29357	868970	3.27	898327
29	29069	868258	3.24	897327
30	29340	870372	3.26	899712
31	29715	867328	3.31	897043
32	31110	860923	3.49	892033
33	30014	868023	3.34	898037
34	29671	866057	3.31	895728
35	29418	868174	3.28	897592
36	29326	871193	3.26	900519
37	29894	869321	3.32	899215
38	28822	866980	3.22	895802
39	29608	868842	3.30	898450
40	30769	863220	3.44	893989
41	29370	863202	3.29	892572
42	28950	867561	3.23	896511
43	29032	866300	3.24	895332
44	29170	860946	3.28	890116
45	29166	865545	3.26	894711
