CHH context (R2)
================
position	count methylated	count unmethylated	% methylation	coverage
1	967	81658	1.17	82625
2	600	74230	0.80	74830
3	644	73454	0.87	74098
4	619	76469	0.80	77088
5	594	71813	0.82	72407
6	551	73397	0.75	73948
7	653	75447	0.86	76100
8	562	73107	0.76	73669
9	580	74669	0.77	75249
10	544	76140	0.71	76684
11	604	75967	0.79	76571
12	616	76208	0.80	76824
13	596	77254	0.77	77850
14	537	76699	0.70	77236
15	574	76963	0.74	77537
16	569	77711	0.73	78280
17	593	77496	0.76	78089
18	534	77459	0.68	77993
19	549	77755	0.70	78304
20	640	77745	0.82	78385
21	564	77672	0.72	78236
22	553	77945	0.70	78498
23	586	77272	0.75	77858
24	518	77584	0.66	78102
25	562	78106	0.71	78668
26	533	77603	0.68	78136
27	552	77012	0.71	77564
28	582	77623	0.74	78205
29	558	77503	0.71	78061
30	569	77860	0.73	78429
31	586	77501	0.75	78087
32	514	77358	0.66	77872
33	597	77152	0.77	77749
34	590	77442	0.76	78032
35	604	77190	0.78	77794
36	596	76743	0.77	77339
37	585	77378	0.75	77963
38	523	77247	0.67	77770
39	549	76986	0.71	77535
40	574	76783	0.74	77357
41	581	76799	0.75	77380
42	589	76717	0.76	77306
43	559	76498	0.73	77057
44	552	76764	0.71	77316
45	560	76365	0.73	76925
46	571	76464	0.74	77035
47	548	76296	0.71	76844
48	559	76584	0.72	77143
49	529	76279	0.69	76808
50	585	76054	0.76	76639
51	552	75857	0.72	76409
52	608	76049	0.79	76657
53	552	75755	0.72	76307
54	587	75647	0.77	76234
55	568	75500	0.75	76068
56	494	75456	0.65	75950
57	612	74944	0.81	75556
58	569	75218	0.75	75787
59	540	74849	0.72	75389
60	601	74190	0.80	74791
61	539	75105	0.71	75644
62	539	74709	0.72	75248
63	618	74366	0.82	74984
64	606	74465	0.81	75071
65	568	74371	0.76	74939
66	587	74141	0.79	74728
67	577	74487	0.77	75064
68	524	73700	0.71	74224
69	559	73488	0.75	74047
70	556	74185	0.74	74741
71	569	73640	0.77	74209
72	619	72806	0.84	73425
73	598	73808	0.80	74406
74	524	73062	0.71	73586
75	552	73055	0.75	73607
76	575	73031	0.78	73606
77	564	72771	0.77	73335
78	600	72010	0.83	72610
79	574	72708	0.78	73282
80	568	72457	0.78	73025
81	578	71810	0.80	72388
82	574	71837	0.79	72411
83	559	71915	0.77	72474
84	589	71506	0.82	72095
85	582	71530	0.81	72112
86	533	71047	0.74	71580
87	568	70719	0.80	71287
88	561	71266	0.78	71827
89	601	70835	0.84	71436
90	556	70438	0.78	70994
91	597	71110	0.83	71707
92	541	70364	0.76	70905
93	566	70137	0.80	70703
94	574	70130	0.81	70704
95	592	69999	0.84	70591
96	616	69713	0.88	70329
97	577	69893	0.82	70470
98	629	69062	0.90	69691
99	588	69170	0.84	69758
100	557	68877	0.80	69434
