CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	223	27889	0.79	28112
2	145	20640	0.70	20785
3	272	29917	0.90	30189
4	280	28247	0.98	28527
5	228	27895	0.81	28123
6	190	28936	0.65	29126
7	200	26850	0.74	27050
8	221	27687	0.79	27908
9	211	28825	0.73	29036
10	189	27893	0.67	28082
11	167	27807	0.60	27974
12	164	28485	0.57	28649
13	184	27675	0.66	27859
14	162	27958	0.58	28120
15	152	28179	0.54	28331
16	191	27860	0.68	28051
17	167	27741	0.60	27908
18	152	28435	0.53	28587
19	176	28271	0.62	28447
20	218	28471	0.76	28689
21	186	28315	0.65	28501
22	197	28311	0.69	28508
23	150	28145	0.53	28295
24	176	28528	0.61	28704
25	193	28018	0.68	28211
26	174	28148	0.61	28322
27	205	28516	0.71	28721
28	179	28146	0.63	28325
29	154	28476	0.54	28630
30	151	28690	0.52	28841
31	155	28098	0.55	28253
32	184	28454	0.64	28638
33	178	28719	0.62	28897
34	260	28469	0.91	28729
35	193	28002	0.68	28195
36	188	28575	0.65	28763
37	200	27887	0.71	28087
38	179	27680	0.64	27859
39	175	28595	0.61	28770
40	180	28342	0.63	28522
41	167	28541	0.58	28708
42	141	28291	0.50	28432
43	164	28351	0.58	28515
44	169	28452	0.59	28621
45	194	28802	0.67	28996
46	184	28073	0.65	28257
47	172	28161	0.61	28333
48	167	28738	0.58	28905
49	147	28258	0.52	28405
50	178	28198	0.63	28376
51	168	28932	0.58	29100
52	189	28720	0.65	28909
53	188	28298	0.66	28486
54	178	28754	0.62	28932
55	179	28545	0.62	28724
56	168	28314	0.59	28482
57	185	28431	0.65	28616
58	163	28478	0.57	28641
59	176	28146	0.62	28322
60	174	28873	0.60	29047
61	185	28514	0.64	28699
62	194	28553	0.67	28747
63	212	28843	0.73	29055
64	158	28326	0.55	28484
65	192	28236	0.68	28428
66	162	28649	0.56	28811
67	168	28219	0.59	28387
68	190	28258	0.67	28448
69	176	28772	0.61	28948
70	183	28337	0.64	28520
71	149	28569	0.52	28718
72	174	28665	0.60	28839
73	194	28486	0.68	28680
74	186	28134	0.66	28320
75	164	28676	0.57	28840
76	183	28268	0.64	28451
77	161	27899	0.57	28060
78	174	28605	0.60	28779
79	178	28113	0.63	28291
80	164	27767	0.59	27931
81	191	28857	0.66	29048
82	178	28080	0.63	28258
83	160	28279	0.56	28439
84	187	28859	0.64	29046
85	174	28303	0.61	28477
86	173	27976	0.61	28149
87	171	28571	0.59	28742
88	188	28345	0.66	28533
89	184	27963	0.65	28147
90	212	28420	0.74	28632
91	156	28306	0.55	28462
92	175	28206	0.62	28381
93	170	28489	0.59	28659
94	202	28437	0.71	28639
95	180	28278	0.63	28458
96	196	28418	0.68	28614
97	163	28233	0.57	28396
98	162	27880	0.58	28042
99	200	28619	0.69	28819
100	185	28011	0.66	28196
