CHG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	94	13482	0.69	13576
2	100	12426	0.80	12526
3	212	14534	1.44	14746
4	104	14487	0.71	14591
5	115	14822	0.77	14937
6	93	14057	0.66	14150
7	107	14355	0.74	14462
8	99	15062	0.65	15161
9	105	14783	0.71	14888
10	118	14624	0.80	14742
11	114	14949	0.76	15063
12	105	14708	0.71	14813
13	92	14738	0.62	14830
14	118	14938	0.78	15056
15	93	14531	0.64	14624
16	92	14712	0.62	14804
17	96	14811	0.64	14907
18	110	14911	0.73	15021
19	81	14829	0.54	14910
20	271	13876	1.92	14147
21	251	14149	1.74	14400
22	108	14470	0.74	14578
23	100	14784	0.67	14884
24	96	14690	0.65	14786
25	102	14537	0.70	14639
26	86	14831	0.58	14917
27	126	14752	0.85	14878
28	111	14685	0.75	14796
29	108	14903	0.72	15011
30	95	14870	0.63	14965
31	101	14842	0.68	14943
32	108	15075	0.71	15183
33	99	14695	0.67	14794
34	125	14646	0.85	14771
35	98	14865	0.65	14963
36	96	14902	0.64	14998
37	142	14364	0.98	14506
38	132	14804	0.88	14936
39	130	14870	0.87	15000
40	112	14580	0.76	14692
41	113	14668	0.76	14781
42	89	14868	0.60	14957
43	90	14826	0.60	14916
44	93	14609	0.63	14702
45	92	14901	0.61	14993
46	198	14303	1.37	14501
47	116	14921	0.77	15037
48	97	14730	0.65	14827
49	147	14516	1.00	14663
50	154	14752	1.03	14906
51	99	14992	0.66	15091
52	105	14849	0.70	14954
53	105	14910	0.70	15015
54	125	14551	0.85	14676
55	108	14487	0.74	14595
56	92	14843	0.62	14935
57	110	14702	0.74	14812
58	104	14823	0.70	14927
59	109	14944	0.72	15053
60	86	14987	0.57	15073
61	114	14688	0.77	14802
62	96	14983	0.64	15079
63	113	14803	0.76	14916
64	97	14705	0.66	14802
65	98	14872	0.65	14970
66	127	14813	0.85	14940
67	120	14482	0.82	14602
68	120	14754	0.81	14874
69	87	15050	0.57	15137
70	125	14884	0.83	15009
71	128	14774	0.86	14902
72	95	14856	0.64	14951
73	120	14597	0.82	14717
74	108	14871	0.72	14979
75	105	14615	0.71	14720
76	126	14636	0.85	14762
77	107	14497	0.73	14604
78	116	14665	0.78	14781
79	112	14755	0.75	14867
80	90	14769	0.61	14859
81	132	14851	0.88	14983
82	154	14385	1.06	14539
83	118	14543	0.80	14661
84	126	14639	0.85	14765
85	118	14668	0.80	14786
86	112	14382	0.77	14494
87	112	14588	0.76	14700
88	113	14571	0.77	14684
89	134	14730	0.90	14864
90	95	14658	0.64	14753
91	115	14669	0.78	14784
92	94	14846	0.63	14940
93	115	14728	0.77	14843
94	119	14655	0.81	14774
95	102	14492	0.70	14594
96	100	14598	0.68	14698
97	115	14732	0.77	14847
98	133	14753	0.89	14886
99	115	14535	0.78	14650
100	127	14451	0.87	14578
