CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	124	16549	0.74	16673
2	81	10728	0.75	10809
3	156	16151	0.96	16307
4	134	15818	0.84	15952
5	123	15835	0.77	15958
6	106	16202	0.65	16308
7	95	14859	0.64	14954
8	99	15965	0.62	16064
9	88	16273	0.54	16361
10	111	15801	0.70	15912
11	103	15976	0.64	16079
12	79	16171	0.49	16250
13	88	15721	0.56	15809
14	110	15465	0.71	15575
15	98	15857	0.61	15955
16	88	15744	0.56	15832
17	91	15657	0.58	15748
18	102	16062	0.63	16164
19	97	15922	0.61	16019
20	101	15738	0.64	15839
21	123	15942	0.77	16065
22	105	16123	0.65	16228
23	96	15621	0.61	15717
24	99	16216	0.61	16315
25	114	15984	0.71	16098
26	102	15792	0.64	15894
27	92	16298	0.56	16390
28	89	15973	0.55	16062
29	103	15758	0.65	15861
30	102	16185	0.63	16287
31	96	16190	0.59	16286
32	82	15940	0.51	16022
33	120	16201	0.74	16321
34	118	15912	0.74	16030
35	103	15830	0.65	15933
36	112	16126	0.69	16238
37	105	15864	0.66	15969
38	98	15711	0.62	15809
39	99	16292	0.60	16391
40	127	15881	0.79	16008
41	107	15985	0.66	16092
42	96	16301	0.59	16397
43	88	16057	0.55	16145
44	90	15901	0.56	15991
45	89	16008	0.55	16097
46	113	15940	0.70	16053
47	101	15859	0.63	15960
48	97	16394	0.59	16491
49	88	15875	0.55	15963
50	101	15753	0.64	15854
51	93	16149	0.57	16242
52	104	16015	0.65	16119
53	101	16002	0.63	16103
54	106	16351	0.64	16457
55	115	16064	0.71	16179
56	97	15871	0.61	15968
57	113	16224	0.69	16337
58	81	15922	0.51	16003
59	91	15993	0.57	16084
60	93	16364	0.57	16457
61	102	16020	0.63	16122
62	100	15877	0.63	15977
63	100	16369	0.61	16469
64	98	15912	0.61	16010
65	106	15910	0.66	16016
66	115	16162	0.71	16277
67	102	16009	0.63	16111
68	103	15638	0.65	15741
69	96	16073	0.59	16169
70	100	15972	0.62	16072
71	91	16137	0.56	16228
72	84	16193	0.52	16277
73	92	16080	0.57	16172
74	88	16104	0.54	16192
75	90	16295	0.55	16385
76	102	16157	0.63	16259
77	87	15965	0.54	16052
78	81	15972	0.50	16053
79	109	16002	0.68	16111
80	99	15987	0.62	16086
81	100	16336	0.61	16436
82	111	15947	0.69	16058
83	91	15976	0.57	16067
84	114	16137	0.70	16251
85	99	15904	0.62	16003
86	103	15897	0.64	16000
87	111	16184	0.68	16295
88	99	16001	0.61	16100
89	80	15976	0.50	16056
90	87	16246	0.53	16333
91	85	16121	0.52	16206
92	98	15935	0.61	16033
93	97	16407	0.59	16504
94	102	16050	0.63	16152
95	96	15967	0.60	16063
96	93	15996	0.58	16089
97	82	15826	0.52	15908
98	88	15746	0.56	15834
99	107	16268	0.65	16375
100	106	15834	0.66	15940

CHG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	94	13482	0.69	13576
2	100	12426	0.80	12526
3	212	14534	1.44	14746
4	104	14487	0.71	14591
5	115	14822	0.77	14937
6	93	14057	0.66	14150
7	107	14355	0.74	14462
8	99	15062	0.65	15161
9	105	14783	0.71	14888
10	118	14624	0.80	14742
11	114	14949	0.76	15063
12	105	14708	0.71	14813
13	92	14738	0.62	14830
14	118	14938	0.78	15056
15	93	14531	0.64	14624
16	92	14712	0.62	14804
17	96	14811	0.64	14907
18	110	14911	0.73	15021
19	81	14829	0.54	14910
20	271	13876	1.92	14147
21	251	14149	1.74	14400
22	108	14470	0.74	14578
23	100	14784	0.67	14884
24	96	14690	0.65	14786
25	102	14537	0.70	14639
26	86	14831	0.58	14917
27	126	14752	0.85	14878
28	111	14685	0.75	14796
29	108	14903	0.72	15011
30	95	14870	0.63	14965
31	101	14842	0.68	14943
32	108	15075	0.71	15183
33	99	14695	0.67	14794
34	125	14646	0.85	14771
35	98	14865	0.65	14963
36	96	14902	0.64	14998
37	142	14364	0.98	14506
38	132	14804	0.88	14936
39	130	14870	0.87	15000
40	112	14580	0.76	14692
41	113	14668	0.76	14781
42	89	14868	0.60	14957
43	90	14826	0.60	14916
44	93	14609	0.63	14702
45	92	14901	0.61	14993
46	198	14303	1.37	14501
47	116	14921	0.77	15037
48	97	14730	0.65	14827
49	147	14516	1.00	14663
50	154	14752	1.03	14906
51	99	14992	0.66	15091
52	105	14849	0.70	14954
53	105	14910	0.70	15015
54	125	14551	0.85	14676
55	108	14487	0.74	14595
56	92	14843	0.62	14935
57	110	14702	0.74	14812
58	104	14823	0.70	14927
59	109	14944	0.72	15053
60	86	14987	0.57	15073
61	114	14688	0.77	14802
62	96	14983	0.64	15079
63	113	14803	0.76	14916
64	97	14705	0.66	14802
65	98	14872	0.65	14970
66	127	14813	0.85	14940
67	120	14482	0.82	14602
68	120	14754	0.81	14874
69	87	15050	0.57	15137
70	125	14884	0.83	15009
71	128	14774	0.86	14902
72	95	14856	0.64	14951
73	120	14597	0.82	14717
74	108	14871	0.72	14979
75	105	14615	0.71	14720
76	126	14636	0.85	14762
77	107	14497	0.73	14604
78	116	14665	0.78	14781
79	112	14755	0.75	14867
80	90	14769	0.61	14859
81	132	14851	0.88	14983
82	154	14385	1.06	14539
83	118	14543	0.80	14661
84	126	14639	0.85	14765
85	118	14668	0.80	14786
86	112	14382	0.77	14494
87	112	14588	0.76	14700
88	113	14571	0.77	14684
89	134	14730	0.90	14864
90	95	14658	0.64	14753
91	115	14669	0.78	14784
92	94	14846	0.63	14940
93	115	14728	0.77	14843
94	119	14655	0.81	14774
95	102	14492	0.70	14594
96	100	14598	0.68	14698
97	115	14732	0.77	14847
98	133	14753	0.89	14886
99	115	14535	0.78	14650
100	127	14451	0.87	14578

CHH context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	375	45759	0.81	46134
2	335	40270	0.83	40605
3	692	46601	1.46	47293
4	321	46648	0.68	46969
5	308	45178	0.68	45486
6	308	45818	0.67	46126
7	368	45599	0.80	45967
8	323	45723	0.70	46046
9	337	45555	0.73	45892
10	332	45180	0.73	45512
11	319	44903	0.71	45222
12	309	45495	0.67	45804
13	318	45718	0.69	46036
14	317	45510	0.69	45827
15	329	46503	0.70	46832
16	300	46121	0.65	46421
17	326	45536	0.71	45862
18	362	45829	0.78	46191
19	311	45490	0.68	45801
20	838	42702	1.92	43540
21	710	43793	1.60	44503
22	339	45629	0.74	45968
23	343	45607	0.75	45950
24	308	46099	0.66	46407
25	343	45814	0.74	46157
