CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	88	9090	0.96	9178
2	60	6924	0.86	6984
3	87	9819	0.88	9906
4	113	9207	1.21	9320
5	100	9570	1.03	9670
6	86	9772	0.87	9858
7	70	8943	0.78	9013
8	64	9562	0.66	9626
9	81	9709	0.83	9790
10	74	9430	0.78	9504
11	80	9367	0.85	9447
12	99	9720	1.01	9819
13	73	9361	0.77	9434
14	59	9488	0.62	9547
15	72	9616	0.74	9688
16	58	9356	0.62	9414
17	56	9518	0.58	9574
18	64	9677	0.66	9741
19	53	9446	0.56	9499
20	66	9365	0.70	9431
21	61	9742	0.62	9803
22	52	9546	0.54	9598
23	55	9432	0.58	9487
24	63	9767	0.64	9830
25	61	9564	0.63	9625
26	62	9443	0.65	9505
27	67	10023	0.66	10090
28	65	9509	0.68	9574
29	58	9675	0.60	9733
30	53	9775	0.54	9828
31	56	9705	0.57	9761
32	63	9541	0.66	9604
33	76	9942	0.76	10018
34	73	9597	0.75	9670
35	68	9661	0.70	9729
36	85	9801	0.86	9886
37	71	9500	0.74	9571
38	60	9641	0.62	9701
39	58	9842	0.59	9900
40	56	9662	0.58	9718
41	57	9672	0.59	9729
42	59	9733	0.60	9792
43	52	9665	0.54	9717
44	64	9753	0.65	9817
45	62	9812	0.63	9874
46	76	9533	0.79	9609
47	63	9676	0.65	9739
48	66	9783	0.67	9849
49	69	9756	0.70	9825
50	74	9669	0.76	9743
51	61	9886	0.61	9947
52	64	9514	0.67	9578
53	57	9427	0.60	9484
54	60	9612	0.62	9672
55	59	9571	0.61	9630
56	67	9690	0.69	9757
57	68	9725	0.69	9793
58	54	9608	0.56	9662
59	64	9712	0.65	9776
60	52	9752	0.53	9804
61	64	9676	0.66	9740
62	82	9733	0.84	9815
63	68	9679	0.70	9747
64	60	9702	0.61	9762
65	74	9822	0.75	9896
66	74	9754	0.75	9828
67	64	9631	0.66	9695
68	56	9611	0.58	9667
69	56	9915	0.56	9971
70	64	9525	0.67	9589
71	63	9670	0.65	9733
72	76	9850	0.77	9926
73	61	9695	0.63	9756
74	61	9508	0.64	9569
75	59	9829	0.60	9888
76	57	9635	0.59	9692
77	68	9779	0.69	9847
78	73	9774	0.74	9847
79	65	9608	0.67	9673
80	58	9666	0.60	9724
81	64	9955	0.64	10019
82	58	9747	0.59	9805
83	78	9743	0.79	9821
84	68	9984	0.68	10052
85	63	9785	0.64	9848
86	68	9584	0.70	9652
87	88	9686	0.90	9774
88	64	9507	0.67	9571
89	57	9760	0.58	9817
90	73	9897	0.73	9970
91	65	9594	0.67	9659
92	71	9563	0.74	9634
93	60	9823	0.61	9883
94	76	9583	0.79	9659
95	62	9591	0.64	9653
96	70	9797	0.71	9867
97	54	9701	0.55	9755
98	67	9571	0.70	9638
99	61	9737	0.62	9798
100	66	9355	0.70	9421

CHG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	74	7740	0.95	7814
2	66	7615	0.86	7681
3	76	8689	0.87	8765
4	68	8697	0.78	8765
5	61	8911	0.68	8972
6	71	8617	0.82	8688
7	53	8719	0.60	8772
8	72	8870	0.81	8942
9	69	8828	0.78	8897
10	61	8849	0.68	8910
11	80	8810	0.90	8890
12	63	8629	0.72	8692
13	63	8537	0.73	8600
14	74	8906	0.82	8980
15	58	8870	0.65	8928
16	68	8629	0.78	8697
17	88	8814	0.99	8902
18	70	8905	0.78	8975
19	61	8848	0.68	8909
20	125	8569	1.44	8694
21	88	8654	1.01	8742
22	50	8887	0.56	8937
23	65	8880	0.73	8945
24	66	8756	0.75	8822
25	71	8772	0.80	8843
26	71	9021	0.78	9092
27	54	8932	0.60	8986
28	49	8927	0.55	8976
29	58	8987	0.64	9045
30	72	8859	0.81	8931
31	62	8954	0.69	9016
32	76	8961	0.84	9037
33	68	8999	0.75	9067
34	79	9019	0.87	9098
35	89	8754	1.01	8843
36	52	9046	0.57	9098
37	70	8975	0.77	9045
38	79	8815	0.89	8894
39	68	8893	0.76	8961
40	80	8832	0.90	8912
41	81	8876	0.90	8957
42	80	9131	0.87	9211
43	64	8939	0.71	9003
44	65	8896	0.73	8961
45	44	8891	0.49	8935
46	94	8761	1.06	8855
47	63	9100	0.69	9163
48	58	8916	0.65	8974
49	67	8935	0.74	9002
50	80	8866	0.89	8946
51	79	8803	0.89	8882
52	66	8752	0.75	8818
53	62	9052	0.68	9114
54	70	8822	0.79	8892
55	65	8986	0.72	9051
56	68	9024	0.75	9092
57	71	9061	0.78	9132
58	67	8998	0.74	9065
59	61	9098	0.67	9159
60	62	8907	0.69	8969
61	67	8907	0.75	8974
62	66	9064	0.72	9130
63	70	9061	0.77	9131
64	59	8928	0.66	8987
65	74	8745	0.84	8819
66	66	9009	0.73	9075
67	73	8889	0.81	8962
68	59	9104	0.64	9163
69	75	8996	0.83	9071
70	83	8865	0.93	8948
71	87	8955	0.96	9042
72	51	9060	0.56	9111
73	65	8828	0.73	8893
74	66	9083	0.72	9149
75	68	8807	0.77	8875
76	48	8977	0.53	9025
77	77	8886	0.86	8963
78	94	8818	1.05	8912
79	55	9020	0.61	9075
80	74	9008	0.81	9082
81	71	8925	0.79	8996
82	73	8934	0.81	9007
83	77	8960	0.85	9037
84	88	8807	0.99	8895
85	54	8861	0.61	8915
86	60	8880	0.67	8940
87	83	8748	0.94	8831
88	70	9045	0.77	9115
89	72	8798	0.81	8870
90	76	9038	0.83	9114
91	72	8821	0.81	8893
92	66	8945	0.73	9011
93	65	8940	0.72	9005
94	66	8874	0.74	8940
95	76	8897	0.85	8973
96	69	8856	0.77	8925
97	78	8804	0.88	8882
98	72	8997	0.79	9069
99	66	8702	0.75	8768
100	82	8730	0.93	8812

CHH context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	224	24832	0.89	25056
2	196	23652	0.82	23848
3	336	27297	1.22	27633
4	225	27033	0.83	27258
5	200	26791	0.74	26991
6	216	27182	0.79	27398
7	222	27196	0.81	27418
8	208	27128	0.76	27336
9	213	27250	0.78	27463
10	211	26954	0.78	27165
11	219	26930	0.81	27149
12	255	27293	0.93	27548
13	209	27553	0.75	27762
14	198	27638	0.71	27836
15	218	27713	0.78	27931
16	229	27393	0.83	27622
17	221	27289	0.80	27510
18	240	27654	0.86	27894
19	204	27435	0.74	27639
20	388	26024	1.47	26412
21	341	26661	1.26	27002
22	199	27249	0.73	27448
23	194	27074	0.71	27268
24	208	27264	0.76	27472
25	220	27377	0.80	27597
26	176	27233	0.64	27409
27	195	27747	0.70	27942
28	194	27343	0.70	27537
29	201	27335	0.73	27536
30	191	27360	0.69	27551
31	194	27486	0.70	27680
32	212	26975	0.78	27187
33	208	27215	0.76	27423
34	239	26952	0.88	27191
35	267	26951	0.98	27218
36	195	27490	0.70	27685
37	253	27129	0.92	27382
38	243	27100	0.89	27343
39	241	27260	0.88	27501
40	209	26994	0.77	27203
41	205	27139	0.75	27344
42	187	27667	0.67	27854
43	214	27017	0.79	27231
44	184	26866	0.68	27050
45	204	27405	0.74	27609
46	364	26815	1.34	27179
47	214	27033	0.79	27247
48	229	27232	0.83	27461
49	242	26803	0.89	27045
50	296	26557	1.10	26853
51	194	27391	0.70	27585
52	219	27422	0.79	27641
53	226	27254	0.82	27480
54	259	27222	0.94	27481
55	212	26975	0.78	27187
56	187	27133	0.68	27320
57	199	27282	0.72	27481
58	191	27508	0.69	27699
59	209	27203	0.76	27412
60	214	27362	0.78	27576
61	212	27268	0.77	27480
62	222	26973	0.82	27195
63	218	27282	0.79	27500
64	238	27264	0.87	27502
65	189	27029	0.69	27218
66	232	27258	0.84	27490
67	271	26956	1.00	27227
68	194	27298	0.71	27492
69	226	27250	0.82	27476
70	205	27351	0.74	27556
71	261	26810	0.96	27071
72	211	27264	0.77	27475
73	206	27253	0.75	27459
74	184	26922	0.68	27106
75	273	27065	1.00	27338
76	206	27080	0.75	27286
77	246	26931	0.91	27177
78	217	27017	0.80	27234
79	233	26873	0.86	27106
80	218	26831	0.81	27049
81	221	27036	0.81	27257
82	272	26744	1.01	27016
83	231	26649	0.86	26880
84	243	26841	0.90	27084
85	225	26984	0.83	27209
86	242	26812	0.89	27054
87	238	27206	0.87	27444
88	217	27090	0.79	27307
89	226	26811	0.84	27037
90	237	27057	0.87	27294
91	236	27189	0.86	27425
92	218	27105	0.80	27323
93	252	26801	0.93	27053
94	224	26841	0.83	27065
95	249	26825	0.92	27074
96	254	27131	0.93	27385
97	221	27139	0.81	27360
98	220	26971	0.81	27191
99	254	26986	0.93	27240
100	248	26963	0.91	27211

CpG context (R2)
================
position	count methylated	count unmethylated	% methylation	coverage
1	168	15063	1.10	15231
2	102	10615	0.95	10717
3	66	7283	0.90	7349
4	91	10409	0.87	10500
5	86	9972	0.86	10058
6	81	9706	0.83	9787
7	88	10457	0.83	10545
8	76	9416	0.80	9492
9	69	9664	0.71	9733
10	63	9769	0.64	9832
11	73	9404	0.77	9477
12	72	9315	0.77	9387
13	69	9513	0.72	9582
14	62	9432	0.65	9494
15	65	9280	0.70	9345
16	63	9570	0.65	9633
17	70	9300	0.75	9370
18	68	9394	0.72	9462
19	63	9481	0.66	9544
20	57	9355	0.61	9412
21	71	9339	0.75	9410
22	71	9612	0.73	9683
23	65	9352	0.69	9417
24	67	9338	0.71	9405
25	63	9592	0.65	9655
26	72	9516	0.75	9588
27	56	9360	0.59	9416
28	49	9486	0.51	9535
29	53	9473	0.56	9526
30	58	9084	0.63	9142
31	66	9460	0.69	9526
32	54	9302	0.58	9356
33	63	9371	0.67	9434
34	66	9556	0.69	9622
35	49	9441	0.52	9490
36	63	9292	0.67	9355
37	61	9465	0.64	9526
38	62	9406	0.65	9468
39	69	9361	0.73	9430
40	59	9319	0.63	9378
41	61	9213	0.66	9274
42	68	9285	0.73	9353
43	74	9438	0.78	9512
44	55	9578	0.57	9633
45	57	9299	0.61	9356
46	42	9408	0.44	9450
47	67	9299	0.72	9366
48	49	9211	0.53	9260
49	66	9286	0.71	9352
50	62	9281	0.66	9343
51	65	9132	0.71	9197
52	58	9332	0.62	9390
53	72	9404	0.76	9476
54	55	9221	0.59	9276
55	64	9153	0.69	9217
56	62	9043	0.68	9105
57	56	9086	0.61	9142
58	70	9375	0.74	9445
59	57	9234	0.61	9291
