CHG context (R2)
================
position	count methylated	count unmethylated	% methylation	coverage
1	128	9598	1.32	9726
2	127	13468	0.93	13595
3	96	10588	0.90	10684
4	81	9160	0.88	9241
5	101	11079	0.90	11180
6	91	10746	0.84	10837
7	89	10870	0.81	10959
8	102	10865	0.93	10967
9	89	10508	0.84	10597
10	100	10616	0.93	10716
11	85	10755	0.78	10840
12	90	10370	0.86	10460
13	90	10510	0.85	10600
14	85	10635	0.79	10720
15	75	10408	0.72	10483
16	77	10425	0.73	10502
17	100	10512	0.94	10612
18	96	10210	0.93	10306
19	73	10364	0.70	10437
20	93	10457	0.88	10550
21	92	10485	0.87	10577
22	86	10315	0.83	10401
23	104	10386	0.99	10490
24	76	10455	0.72	10531
25	78	10266	0.75	10344
26	88	10631	0.82	10719
27	95	10382	0.91	10477
28	95	10303	0.91	10398
29	73	10551	0.69	10624
30	90	10418	0.86	10508
31	67	10224	0.65	10291
32	78	10500	0.74	10578
33	83	10271	0.80	10354
34	87	10369	0.83	10456
35	92	10443	0.87	10535
36	87	10410	0.83	10497
37	80	10361	0.77	10441
38	85	10346	0.81	10431
39	88	10350	0.84	10438
40	72	10285	0.70	10357
41	93	10345	0.89	10438
42	79	10292	0.76	10371
43	104	10302	1.00	10406
44	103	10362	0.98	10465
45	84	10293	0.81	10377
46	92	10242	0.89	10334
47	88	10285	0.85	10373
48	86	10234	0.83	10320
49	81	10204	0.79	10285
50	86	10295	0.83	10381
51	86	9931	0.86	10017
52	79	10143	0.77	10222
53	94	10217	0.91	10311
54	85	10168	0.83	10253
55	74	10164	0.72	10238
56	86	9995	0.85	10081
57	79	10189	0.77	10268
58	90	10042	0.89	10132
59	87	10173	0.85	10260
60	98	10032	0.97	10130
61	103	9952	1.02	10055
62	103	9960	1.02	10063
63	78	10134	0.76	10212
64	82	10103	0.81	10185
65	94	10023	0.93	10117
66	72	10092	0.71	10164
67	91	9941	0.91	10032
68	95	9978	0.94	10073
69	68	10076	0.67	10144
70	71	10034	0.70	10105
71	79	9846	0.80	9925
72	85	9858	0.85	9943
73	84	9790	0.85	9874
74	88	9937	0.88	10025
75	84	9737	0.86	9821
76	91	9815	0.92	9906
77	80	9871	0.80	9951
78	83	9817	0.84	9900
79	91	9642	0.93	9733
80	91	9852	0.92	9943
81	77	9847	0.78	9924
82	83	9736	0.85	9819
83	89	9787	0.90	9876
84	76	9760	0.77	9836
85	68	9522	0.71	9590
86	107	9559	1.11	9666
87	82	9652	0.84	9734
88	96	9513	1.00	9609
89	93	9640	0.96	9733
90	94	9476	0.98	9570
91	82	9492	0.86	9574
92	97	9663	0.99	9760
93	105	9612	1.08	9717
94	85	9601	0.88	9686
95	87	9296	0.93	9383
96	83	9379	0.88	9462
97	101	9253	1.08	9354
98	95	9305	1.01	9400
99	88	9202	0.95	9290
100	97	9373	1.02	9470
