CHH context (R2)
================
position	count methylated	count unmethylated	% methylation	coverage
1	30	4084	0.73	4114
2	30	4098	0.73	4128
3	29	4040	0.71	4069
4	34	4262	0.79	4296
5	26	3973	0.65	3999
6	36	4128	0.86	4164
7	19	4229	0.45	4248
8	21	4019	0.52	4040
9	27	4122	0.65	4149
10	32	4067	0.78	4099
11	32	3941	0.81	3973
12	21	4222	0.49	4243
13	29	4187	0.69	4216
14	25	4146	0.60	4171
15	23	4222	0.54	4245
16	20	4209	0.47	4229
17	22	4174	0.52	4196
18	24	4182	0.57	4206
19	30	4298	0.69	4328
20	22	4074	0.54	4096
21	23	4187	0.55	4210
22	33	4135	0.79	4168
23	21	4129	0.51	4150
24	29	4291	0.67	4320
25	28	4266	0.65	4294
26	22	4050	0.54	4072
27	25	4215	0.59	4240
28	19	4228	0.45	4247
29	30	4179	0.71	4209
30	26	4110	0.63	4136
31	33	4255	0.77	4288
32	36	4229	0.84	4265
33	31	4112	0.75	4143
34	23	4234	0.54	4257
35	21	4179	0.50	4200
36	22	4163	0.53	4185
37	24	4155	0.57	4179
38	25	4152	0.60	4177
39	23	4158	0.55	4181
40	33	4113	0.80	4146
41	26	4197	0.62	4223
42	25	4074	0.61	4099
43	21	4190	0.50	4211
44	24	4098	0.58	4122
45	31	4105	0.75	4136
46	39	4065	0.95	4104
47	30	4106	0.73	4136
48	32	4045	0.78	4077
49	29	4233	0.68	4262
50	27	4138	0.65	4165
51	24	4111	0.58	4135
52	24	4134	0.58	4158
53	24	4074	0.59	4098
54	27	4060	0.66	4087
55	25	4099	0.61	4124
56	30	4095	0.73	4125
57	28	4105	0.68	4133
58	26	4109	0.63	4135
59	27	4084	0.66	4111
60	23	4062	0.56	4085
61	24	4086	0.58	4110
62	24	4021	0.59	4045
63	27	4003	0.67	4030
64	31	3941	0.78	3972
65	30	3952	0.75	3982
66	29	3989	0.72	4018
67	31	4026	0.76	4057
68	29	3924	0.73	3953
69	37	4011	0.91	4048
70	41	3958	1.03	3999
71	27	3817	0.70	3844
72	29	3896	0.74	3925
73	31	3910	0.79	3941
74	24	3880	0.61	3904
75	33	3906	0.84	3939
76	20	3844	0.52	3864
77	30	3817	0.78	3847
78	31	3877	0.79	3908
79	18	3857	0.46	3875
80	24	3835	0.62	3859
81	29	3855	0.75	3884
82	28	3883	0.72	3911
83	22	3889	0.56	3911
84	28	3945	0.70	3973
85	22	3723	0.59	3745
86	25	3843	0.65	3868
87	30	3755	0.79	3785
88	29	3770	0.76	3799
89	33	3748	0.87	3781
90	43	3815	1.11	3858
91	28	3715	0.75	3743
92	27	3804	0.70	3831
93	23	3756	0.61	3779
94	33	3824	0.86	3857
95	31	3599	0.85	3630
96	30	3654	0.81	3684
97	30	3705	0.80	3735
98	29	3692	0.78	3721
99	23	3616	0.63	3639
100	48	3648	1.30	3696
