CpG context (R2)
================
position	count methylated	count unmethylated	% methylation	coverage
1	21	2358	0.88	2379
2	14	1583	0.88	1597
3	8	1099	0.72	1107
4	8	1581	0.50	1589
5	10	1529	0.65	1539
6	11	1461	0.75	1472
7	12	1520	0.78	1532
8	10	1422	0.70	1432
9	11	1509	0.72	1520
10	10	1535	0.65	1545
11	9	1483	0.60	1492
12	11	1467	0.74	1478
13	8	1510	0.53	1518
14	5	1438	0.35	1443
15	6	1453	0.41	1459
16	10	1500	0.66	1510
17	3	1546	0.19	1549
18	9	1426	0.63	1435
19	7	1486	0.47	1493
20	8	1437	0.55	1445
21	2	1427	0.14	1429
22	6	1536	0.39	1542
23	9	1513	0.59	1522
24	4	1472	0.27	1476
25	2	1520	0.13	1522
26	6	1444	0.41	1450
27	9	1504	0.59	1513
28	8	1510	0.53	1518
29	6	1488	0.40	1494
30	12	1449	0.82	1461
31	8	1423	0.56	1431
32	12	1449	0.82	1461
33	5	1426	0.35	1431
34	10	1530	0.65	1540
35	14	1471	0.94	1485
36	3	1395	0.21	1398
37	8	1480	0.54	1488
38	10	1501	0.66	1511
39	11	1416	0.77	1427
40	3	1502	0.20	1505
41	10	1458	0.68	1468
42	7	1478	0.47	1485
43	14	1456	0.95	1470
44	6	1491	0.40	1497
45	6	1449	0.41	1455
46	9	1517	0.59	1526
47	7	1428	0.49	1435
48	5	1414	0.35	1419
49	6	1414	0.42	1420
50	10	1513	0.66	1523
51	13	1415	0.91	1428
52	10	1353	0.73	1363
53	7	1486	0.47	1493
54	4	1396	0.29	1400
55	7	1481	0.47	1488
56	7	1423	0.49	1430
57	3	1449	0.21	1452
58	9	1442	0.62	1451
59	11	1466	0.74	1477
60	11	1360	0.80	1371
61	9	1463	0.61	1472
62	3	1361	0.22	1364
63	7	1400	0.50	1407
64	5	1550	0.32	1555
65	6	1494	0.40	1500
66	6	1412	0.42	1418
67	4	1457	0.27	1461
68	11	1422	0.77	1433
69	10	1382	0.72	1392
70	8	1461	0.54	1469
71	9	1382	0.65	1391
72	8	1340	0.59	1348
73	6	1397	0.43	1403
74	6	1292	0.46	1298
75	5	1349	0.37	1354
76	7	1374	0.51	1381
77	7	1351	0.52	1358
78	5	1415	0.35	1420
79	5	1364	0.37	1369
80	12	1400	0.85	1412
81	9	1409	0.63	1418
82	9	1331	0.67	1340
83	7	1352	0.52	1359
84	5	1336	0.37	1341
85	7	1369	0.51	1376
86	9	1336	0.67	1345
87	2	1351	0.15	1353
88	7	1381	0.50	1388
89	7	1327	0.52	1334
90	8	1319	0.60	1327
91	7	1334	0.52	1341
92	8	1314	0.61	1322
93	9	1269	0.70	1278
94	5	1354	0.37	1359
95	5	1275	0.39	1280
96	9	1333	0.67	1342
97	5	1291	0.39	1296
98	9	1273	0.70	1282
99	4	1244	0.32	1248
100	11	1286	0.85	1297
