"","chr","start","end","strand","pvalue","qvalue","meth.diff"
"17723","CHRFL002",2649501,2650500,"*",1.63312689848324e-06,0.00162855652685252,-50
"35418","CHRFL005",2196501,2197500,"*",8.70600745465362e-09,4.12427012377781e-05,-35.6818181818182
"50008","CHRFL006",4747501,4748500,"*",2.43809524724655e-05,0.00782025399760703,-40
"58252","CHRFL008",26501,27500,"*",8.78030267308377e-13,1.34264850308386e-08,-60
"58253","CHRFL008",27001,28000,"*",7.11881000504365e-11,6.96616393997993e-07,-58.2300884955752
"59159","CHRFL008",531001,532000,"*",6.69233822721068e-16,2.7094563289117e-11,-27.7341482047364
"93787","CHRFL012",4386001,4387000,"*",1.33314865368906e-05,0.00572134447826577,-25.6410256410256
"95684","CHRFL012",5631501,5632500,"*",1.01767544009601e-09,6.79572000874424e-06,-76.9230769230769
"115709","CHRFL014",259501,260500,"*",1.90493918919395e-06,0.00177683312589098,-99.009900990099
"118977","CHRFL015",329001,330000,"*",3.26508256213976e-06,0.00239379139342971,64.2857142857143
