"","chr","start","end","strand","pvalue","qvalue","meth.diff"
"306","CP027619.1",153001,154000,"*",2.27124936425477e-94,7.22397351604169e-92,-31.6974639989805
"307","CP027619.1",153501,154500,"*",7.43059666880956e-238,7.0532358810387e-235,-56.274452331494
"324","CP027619.1",162001,163000,"*",2.98309477833741e-19,1.99853094457349e-17,36.6865079365079
"325","CP027619.1",162501,163500,"*",1.75252229512184e-195,1.28615846954802e-192,57.9301159012147
"326","CP027619.1",163001,164000,"*",4.86433841815471e-198,3.62243704645401e-195,53.9780060408536
"506","CP027619.1",258001,259000,"*",3.028175491154e-88,9.05716024856383e-86,-49.5970952387709
"507","CP027619.1",258501,259500,"*",5.77717692529349e-67,1.308475530054e-64,-46.8666222509826
"789","CP027619.1",414501,415500,"*",7.12807124641513e-57,1.37324126068886e-54,-27.7073412253634
"839","CP027619.1",439501,440500,"*",2.35347701146532e-37,3.04198309471547e-35,27.1007271803965
"1066","CP027619.1",553501,554500,"*",6.08146568318753e-71,1.46283730723775e-68,-39.5129797093625
"1067","CP027619.1",554001,555000,"*",1.87237073202821e-31,2.05030032644694e-29,-27.2652432862968
"1536","CP027619.1",793001,794000,"*",2.55481928290881e-13,1.14551610078057e-11,-31.4493237602271
"1629","CP027619.1",839501,840500,"*",1.96948044270601e-06,3.30756079705316e-05,69.2307692307692
"2765","CP027619.1",1435501,1436500,"*",1.25206814462902e-08,3.21633975728071e-07,-50.6148867313916
"2767","CP027619.1",1439501,1440500,"*",2.04662422113297e-32,2.32106969437049e-30,45.9785522788204
"2842","CP027619.1",1478001,1479000,"*",4.33790876300012e-114,1.6585614967502e-111,-34.7940546236686
"2843","CP027619.1",1478501,1479500,"*",8.43735681722801e-71,2.02418076573312e-68,-30.2758663553144
"3495","CP027619.1",1805001,1806000,"*",4.52342453339797e-05,0.000528907894950016,32.2751322751323
"3496","CP027619.1",1805501,1806500,"*",1.69424115754834e-07,3.57253640482565e-06,57.5152966214419
"3589","CP027619.1",1852001,1853000,"*",1.48091899025906e-98,4.89534157246772e-96,-25.2945322913931
"3590","CP027619.1",1852501,1853500,"*",1.0109730883908e-72,2.48649354085243e-70,-31.982057751612
"3612","CP027619.1",1863501,1864500,"*",7.76104164173071e-05,0.000844343759060209,-67.5
"4522","CP027619.1",2747001,2748000,"*",1.12626203665098e-05,0.00015676718839482,25.3913360029123
"4528","CP027619.1",2750001,2751000,"*",5.96167133842626e-19,3.9356820586113e-17,26.9985866812196
"4931","CP027619.1",2953501,2954500,"*",5.90996579122917e-52,1.04639312707998e-49,32.7387734391217
"5019","CP027619.1",2997501,2998500,"*",2.35512738886706e-122,9.7328888103423e-120,-25.6197128198645
"5028","CP027619.1",3002001,3003000,"*",5.30304038893382e-26,4.84044528642535e-24,28.2475378025116
"6205","CP027619.1",3596501,3597500,"*",2.34531208426244e-177,1.50680927314491e-174,-39.4568637156184
"6206","CP027619.1",3597001,3598000,"*",4.33179738136538e-194,3.15366385441646e-191,-53.7586658004574
"6338","CP027619.1",3663501,3664500,"*",1.09228106700282e-55,2.05860906177751e-53,-25.4191061949494
"6383","CP027619.1",3686001,3687000,"*",1.52005159054355e-21,1.1498134574246e-19,30.033493598401
"6384","CP027619.1",3686501,3687500,"*",1.50942378159209e-19,1.02735520196429e-17,31.2171052631579
"6599","CP027619.1",3820501,3821500,"*",1.4727630895696e-35,1.81931828670583e-33,25.1845733777134
"6816","CP027619.1",3929001,3930000,"*",4.22498479471406e-44,6.39535433704408e-42,-25.608728532505
"6834","CP027619.1",3938501,3939500,"*",1.31062364383649e-05,0.000179158650903896,51.0346907993967
"8521","CP027619.1",4875501,4876500,"*",1.00220664973711e-42,1.46590283930034e-40,-27.0422119815668
"8522","CP027619.1",4876001,4877000,"*",6.76956198908483e-44,1.01990754433953e-41,-25.382407253532
"8864","CP027619.1",5055501,5056500,"*",0.000287578344564703,0.00258245684050361,47.7272727272727
"8875","CP027619.1",5061001,5062000,"*",2.89704038622043e-23,2.3662250329926e-21,30.0929263798766
"8876","CP027619.1",5061501,5062500,"*",9.19174811071413e-33,1.05379951688755e-30,39.975845410628
"9818","CP027619.1",5549501,5550500,"*",0,0,-44.2232072638879
"9819","CP027619.1",5550001,5551000,"*",0,0,-35.5786257421617
"9820","CP027619.1",5550501,5551500,"*",1.17153241194393e-317,1.89506805646885e-314,-26.1549162187226
"9823","CP027619.1",5552001,5553000,"*",1.6921560857508e-36,2.14162721197241e-34,-28.6864234368642
"9824","CP027619.1",5552501,5553500,"*",4.30884007609008e-08,1.01165873402418e-06,-40
"9825","CP027619.1",5553001,5554000,"*",4.01858867464635e-18,2.53478924859892e-16,-42.1875
"9826","CP027619.1",5553501,5554500,"*",3.40312678443351e-97,1.11017467967509e-94,-25.6337669316642
"9827","CP027619.1",5554001,5555000,"*",3.69260054308865e-268,4.30473765827854e-265,-26.2707554198582
"9828","CP027619.1",5554501,5555500,"*",1.13289539939001e-269,1.33206084693697e-266,-26.3451815689296
"9856","CP027619.1",5575001,5576000,"*",3.1708706838098e-61,6.54708158848806e-59,-31.8127019535158
"10022","CP027619.1",5658001,5659000,"*",1.17634869036319e-15,6.33723809004525e-14,27.7437550362611
"10428","CP027619.1",5861001,5862000,"*",1.53196927185536e-09,4.52170770594025e-08,-27.926267281106
"10445","CP027619.1",5869501,5870500,"*",2.52761208085794e-65,5.5859613984839e-63,27.2429937327726
"10702","CP027619.1",5998001,5999000,"*",9.49644127968635e-29,9.58316773124022e-27,-26.8725389488101
"10703","CP027619.1",5998501,5999500,"*",1.20607603877373e-18,7.83344811175408e-17,-34.521642394822
"11222","CP027619.1",6284501,6285500,"*",2.33837082181935e-60,4.76518661978414e-58,-29.8384214585332
"11435","CP027619.1",6395501,6396500,"*",1.15833500351194e-68,2.69382112505379e-66,35.6098683766115
"11436","CP027619.1",6396001,6397000,"*",1.64314820500324e-67,3.75580265380064e-65,33.5677491601344
"11547","CP027619.1",6451501,6452500,"*",2.59069646205032e-100,8.73278735655418e-98,-30.7138338274239
"11897","CP027619.1",6631501,6632500,"*",6.34934751478409e-13,2.75122289983608e-11,-26.3065571991754
"11976","CP027619.1",6671001,6672000,"*",1.23692599943405e-20,8.93141595798423e-19,-26.5431920246894
"14161","CP027619.1",7894001,7895000,"*",7.41930283378086e-95,2.37082933124723e-92,-39.0890301131265
"15529","CP027619.1",8605001,8606000,"*",2.3285331570243e-14,1.14293998252691e-12,26.2505174706913
"18362","CP027619.1",10229501,10230500,"*",1.45209769089511e-07,3.09918555542903e-06,29.9167911243866
"18927","CP027619.1",10521501,10522500,"*",3.03706325419248e-204,2.34204267997635e-201,49.8696348834565
"18928","CP027619.1",10522001,10523000,"*",0,0,68.7912175079892
"18929","CP027619.1",10522501,10523500,"*",0,0,64.6221849237434
"18930","CP027619.1",10523001,10524000,"*",1.54977470854549e-96,5.02571899375938e-94,35.4356407267209
"19433","CP027619.1",10850501,10851500,"*",4.73630491806636e-06,7.26182064313781e-05,-63.2142857142857
"19434","CP027619.1",10851001,10852000,"*",0.000182533547352465,0.00175753472717431,-33.6805555555556
"19498","CP027619.1",10891001,10892000,"*",1.03091225093981e-31,1.14221701235344e-29,-28.0344827586207
"19609","CP027619.1",10946501,10947500,"*",7.68482648429043e-07,1.41532101951454e-05,-31.9444444444444
"19659","CP027619.1",10980501,10981500,"*",0.000585706226990659,0.00467255720718886,-33.8961038961039
"19668","CP027619.1",10985501,10986500,"*",5.85650536003527e-07,1.10521627522731e-05,-35.0856697819315
"19669","CP027619.1",10986001,10987000,"*",6.99416197801919e-10,2.16267620922861e-08,-27.7715472481828
"19670","CP027619.1",10986501,10987500,"*",1.23595191512558e-06,2.17858739342021e-05,-29.5323741007194
"19671","CP027619.1",10987501,10988500,"*",1.23587331308819e-05,0.000170178628465305,-52.0833333333333
"20018","CP027619.1",11169001,11170000,"*",7.89387114643394e-06,0.000114417917382107,29.18863618478
"20573","CP027619.1",11611501,11612500,"*",8.2244405898517e-08,1.83769377585098e-06,38.407960199005
"20574","CP027619.1",11612001,11613000,"*",1.57721194067062e-11,5.94182783806091e-10,31.3261063261063
"20943","CP027619.1",11873501,11874500,"*",1.8408577927795e-05,0.00024147920261195,-41.3793103448276
"21009","CP027619.1",11906501,11907500,"*",5.42153169974514e-12,2.14938120061798e-10,40.7886368454526
"21491","CP027619.1",12201001,12202000,"*",1.8901489046483e-85,5.46791075829974e-83,-39.2656758901935
"21492","CP027619.1",12201501,12202500,"*",1.02746381848299e-58,2.04055135426058e-56,-42.0249644650516
"21497","CP027619.1",12207501,12208500,"*",2.19798529395175e-41,3.11655618126953e-39,39.6258885147774
"21596","CP027619.1",12258501,12259500,"*",8.76210291106607e-57,1.68388831016504e-54,28.1501816806318
"21597","CP027619.1",12259001,12260000,"*",4.13173818965511e-100,1.39016590259542e-97,38.549390054319
"21598","CP027619.1",12259501,12260500,"*",2.00282739945666e-81,5.49443991469208e-79,36.7215201381944
"21629","CP027619.1",12275001,12276000,"*",0.000116899634888201,0.00119921649578502,46.3343108504399
"22134","CP027619.1",12563001,12564000,"*",2.78753259095266e-77,7.28526706041197e-75,34.964887495971
"22221","CP027619.1",12610001,12611000,"*",2.56734584166349e-31,2.79898545211931e-29,-35.6614135625597
"22429","CP027619.1",12715001,12716000,"*",1.40328082577309e-57,2.73623746408626e-55,38.4631832342113
"22716","CP027619.1",12896501,12897500,"*",2.21894992629962e-43,3.30754207825645e-41,-32.8167521145651
"22717","CP027619.1",12897001,12898000,"*",8.48369501662652e-80,2.29172098960006e-77,-32.0678095023453
"22774","CP027619.1",12927501,12928500,"*",1.1076407350672e-36,1.41034083981491e-34,34.2863465684385
"23425","CP027619.1",13338501,13339500,"*",0.000136314537146643,0.00136799435685565,41.1904761904762
"24363","CP027619.1",13833001,13834000,"*",6.55067984681881e-11,2.30074587581968e-09,27.858841331604
"24401","CP027619.1",13852001,13853000,"*",2.26257938024443e-31,2.47263791922823e-29,26.7021574126586
"24919","CP027619.1",14426001,14427000,"*",0.000221192216227395,0.0020656646370016,-27.1749755620723
"25257","CP027619.1",14599001,14600000,"*",3.23921319350534e-30,3.42427172297498e-28,27.9526623758721
"25397","CP027619.1",14672001,14673000,"*",2.38972383295696e-105,8.4787587684721e-103,-27.1403688322935
"25398","CP027619.1",14672501,14673500,"*",9.82049988656823e-197,7.24607108229609e-194,-48.8435448734144
"25399","CP027619.1",14673001,14674000,"*",2.46302168365178e-135,1.15196935799251e-132,-57.3516503976381
"25400","CP027619.1",14673501,14674500,"*",2.3258408538247e-286,3.07161554383321e-283,-73.2542492917847
"25401","CP027619.1",14674001,14675000,"*",0,0,-72.0475642931262
"25402","CP027619.1",14674501,14675500,"*",1.43912594605257e-173,9.05453662545859e-171,-51.8130208592527
