"","chr","start","end","strand","pvalue","qvalue","meth.diff"
"4079","CHRFL001",2117501,2118500,"*",2.05561290373743e-05,0.00235228885753099,-30.9246954595792
"11706","CHRFL001",5996001,5997000,"*",7.71405327935515e-06,0.00130193278265405,-26.1355225085795
"11707","CHRFL001",5996501,5997500,"*",1.94040037237931e-10,3.48847428685914e-07,-31.4474221988673
"23709","CHRFL003",453001,454000,"*",4.48243043102621e-12,1.09027649517328e-08,-29.2031149989332
"28079","CHRFL004",159501,160500,"*",1.18977322829733e-05,0.00171261575977233,-38.9285714285714
"31730","CHRFL005",166001,167000,"*",1.195530413337e-06,0.000365281655773501,28.2608695652174
"31731","CHRFL005",166501,167500,"*",3.68420005456018e-07,0.000155599541585793,30.4697554697555
"58521","CHRFL007",4223501,4224500,"*",3.92658052899219e-08,2.85342054160467e-05,36.4705882352941
"58522","CHRFL007",4224001,4225000,"*",1.63942519101519e-05,0.00206466046213444,28.9170506912442
"63853","CHRFL008",2727001,2728000,"*",3.79587361819055e-11,7.71925125349048e-08,-28.3090319508379
"80378","CHRFL010",3222001,3223000,"*",1.54549976675728e-16,7.37375771409517e-13,26.3157894736842
"80379","CHRFL010",3222501,3223500,"*",2.25624763450689e-14,7.36540165297223e-11,38.6363636363636
"87332","CHRFL011",3508501,3509500,"*",0.000140049649378146,0.00724177530458924,-93.75
"88984","CHRFL012",640001,641000,"*",1.741363291623e-18,1.02863988077401e-14,26.0714285714286
"88985","CHRFL012",640501,641500,"*",1.03873722859384e-19,8.05339465436485e-16,31.5713263899792
"91435","CHRFL012",2608501,2609500,"*",6.06528459961608e-07,0.000228690726230327,-31.0540663334848
"106113","CHRFL013",3480001,3481000,"*",5.82352251616134e-05,0.00439376246234837,-33.3333333333333
"112190","CHRFL013",7362001,7363000,"*",0.000227212605681878,0.00951891135502575,-50
"115103","CHRFL013",9141001,9142000,"*",0.000113326040371668,0.00638129005086926,-48.5294117647059
"118501","CHRFL014",1582501,1583500,"*",6.0924422273297e-05,0.00450394139367117,25.0438340151958
"122704","CHRFL018",106501,107500,"*",1.72592609213507e-06,0.000475776457340584,-25.7430997876858
