"","chr","start","end","strand","pvalue","qvalue","meth.diff"
"5625","CP027619.1",3303501,3304500,"*",0.00073861862782947,0.00354105055187029,-32.932003210641
"14416","CP027619.1",8015001,8016000,"*",0.000286891496369963,0.00154631847011736,31.5527950310559
"17513","CP027619.1",9778501,9779500,"*",9.13393757601386e-11,2.01043016431654e-09,-26.9361413043478
"18384","CP027619.1",10229001,10230000,"*",0.00020376643184076,0.00114502924549728,35.8723296032553
"18890","CP027619.1",10489001,10490000,"*",1.32644285183066e-12,4.00361091142927e-11,29.5549193128579
"19743","CP027619.1",11010501,11011500,"*",3.41989912936363e-07,3.73819426055124e-06,73.1531531531532
"21517","CP027619.1",12196501,12197500,"*",1.12204324945064e-08,1.67145043159994e-07,29.0322580645161
"21994","CP027619.1",12466001,12467000,"*",1.49058005847001e-18,1.07656776739111e-16,-42.1942110177404
"22344","CP027619.1",12653001,12654000,"*",2.33735711457057e-08,3.26529372262605e-07,92.3076923076923
"22714","CP027619.1",12870501,12871500,"*",2.13982534772283e-07,2.4441327954551e-06,-35.1008878127522
"22896","CP027619.1",12971501,12972500,"*",5.24988427719363e-07,5.50853740622761e-06,41.5384615384615
"25563","CP027619.1",14790501,14791500,"*",3.72537355888013e-07,4.04117720614424e-06,-27.3680063041765
"25893","CP027619.1",14966001,14967000,"*",1.06299559257314e-06,1.04487518066017e-05,-35.7142857142857
"27133","CP027619.1",15824001,15825000,"*",2.85947621216854e-06,2.55377981106856e-05,45.5920709441836
"27311","CP027619.1",15916501,15917500,"*",5.72379460199991e-07,5.95741675678437e-06,27.8102189781022
"29743","CP027619.1",17219001,17220000,"*",0.000465243939507829,0.0023646149959714,40
"30272","CP027619.1",17490501,17491500,"*",1.27098718130946e-10,2.72523240177367e-09,25.8317025440313
"30908","CP027619.1",17858001,17859000,"*",1.7338782475244e-14,7.02914574713449e-13,-44.4444444444444
"33196","CP027619.1",19284501,19285500,"*",8.50782784194998e-12,2.24070647168146e-10,30.4066819130954
"33885","CP027619.1",19726001,19727000,"*",1.08973058951004e-13,3.90723868020109e-12,27.7423567368259
