"","chr","start","end","strand","pvalue","qvalue","meth.diff"
"9","CP027619.1",5001,6000,"*",5.85820774218888e-89,9.47667199512001e-87,36.8743078417819
"22","CP027619.1",11501,12500,"*",2.07054738634243e-74,2.39980182704672e-72,35.4878908795515
"133","CP027619.1",67001,68000,"*",1.14329090764233e-10,9.40442741686575e-10,-25.1941346551012
"134","CP027619.1",67501,68500,"*",9.07716397493093e-22,1.62677169202096e-20,-26.9283697953423
"146","CP027619.1",73501,74500,"*",1.98117809689603e-67,1.91997881187694e-65,37.4501683251754
"164","CP027619.1",82501,83500,"*",5.3457351327801e-29,1.38891476507679e-27,-28.6627694556083
"169","CP027619.1",85001,86000,"*",1.14715965500904e-27,2.799833544064e-26,27.695045322997
"178","CP027619.1",89501,90500,"*",1.14504912296419e-64,1.0332879325444e-62,38.0481355974986
"208","CP027619.1",104501,105500,"*",2.96509454976039e-19,4.59156447447462e-18,25.0577342907494
"218","CP027619.1",109501,110500,"*",5.74703394381589e-22,1.04149448545206e-20,29.5198202022029
"279","CP027619.1",140001,141000,"*",1.67295157004753e-34,5.56274758704379e-33,38.7938809797506
"305","CP027619.1",153001,154000,"*",2.1494130382811e-184,1.31550350079615e-181,-34.1097595566672
"306","CP027619.1",153501,154500,"*",3.13192984931709e-308,4.89368974661861e-305,-48.8181542277334
"324","CP027619.1",162501,163500,"*",4.350831154018e-124,1.27148260624158e-121,42.6734310563064
"325","CP027619.1",163001,164000,"*",1.14656138274663e-251,1.25802929600931e-248,47.5260627404775
"326","CP027619.1",163501,164500,"*",9.60035170029475e-66,8.92929317499801e-64,28.1892215674357
"428","CP027619.1",219501,220500,"*",2.3075686893211e-34,7.63196714291125e-33,27.9872307523379
"484","CP027619.1",247501,248500,"*",4.5203138836333e-33,1.41196501683764e-31,25.6683420745921
"505","CP027619.1",258001,259000,"*",2.47592102682451e-128,7.65399264459119e-126,-66.5731810959613
"506","CP027619.1",258501,259500,"*",1.89420392773826e-53,1.22735681733172e-51,-34.5382530748384
"516","CP027619.1",268501,269500,"*",7.42170965508354e-37,2.71714794608315e-35,-35.2328368660616
"529","CP027619.1",275001,276000,"*",0.00181242312956551,0.00549701583546112,-50.7299270072993
"560","CP027619.1",291001,292000,"*",2.25426590732441e-29,5.95789161077078e-28,25.7750272806166
"581","CP027619.1",301501,302500,"*",3.24495839406414e-285,4.45726504164804e-282,40.6550087646723
"582","CP027619.1",302001,303000,"*",4.92597850240429e-313,7.94741048808906e-310,34.7042725829032
"600","CP027619.1",311001,312000,"*",8.30468884097755e-108,1.89326768786965e-105,25.9405060243233
"657","CP027619.1",350001,351000,"*",1.11019021764634e-34,3.72100005597091e-33,-29.1615377331692
"684","CP027619.1",363501,364500,"*",1.95501854865885e-67,1.89530098652008e-65,-25.7028169886968
"731","CP027619.1",387001,388000,"*",1.42180653880814e-141,5.33243946444139e-139,-56.3736342212383
"732","CP027619.1",387501,388500,"*",1.37313590898342e-130,4.39692147748104e-128,-35.4118858487791
"825","CP027619.1",434001,435000,"*",1.28078273029118e-37,4.82743901656707e-36,-28.0539336357903
"859","CP027619.1",451001,452000,"*",2.18923391513323e-17,3.0112209557903e-16,-25.0398792998527
"1046","CP027619.1",545001,546000,"*",1.85467295986774e-87,2.89546678823119e-85,30.4715437810327
"1050","CP027619.1",547001,548000,"*",7.0250878368928e-199,4.96231457129367e-196,34.047515036882
"1084","CP027619.1",564001,565000,"*",3.51172251824572e-92,6.00127076215832e-90,-25.8691934660541
"1112","CP027619.1",578001,579000,"*",3.4648836551078e-102,7.19795590489933e-100,-30.0375613187379
"1113","CP027619.1",578501,579500,"*",2.36595228672839e-103,5.00464068694396e-101,-30.9433525674166
"1141","CP027619.1",592501,593500,"*",4.01615861519668e-70,4.1787513522645e-68,-34.1773650523512
"1142","CP027619.1",593001,594000,"*",5.36464165525588e-37,1.97464438620373e-35,-28.9623930059211
"1148","CP027619.1",596001,597000,"*",4.40933131781437e-20,7.18132189032313e-19,26.5928142401986
"1162","CP027619.1",603001,604000,"*",2.0013332808296e-24,4.13755568122013e-23,-26.7816342512978
"1235","CP027619.1",644001,645000,"*",1.4074866539731e-39,5.7209884255464e-38,28.5205333919478
"1250","CP027619.1",651501,652500,"*",3.43408326962057e-28,8.60521744519322e-27,-32.4581712218006
"1335","CP027619.1",694001,695000,"*",9.44511588448916e-60,7.42695270929757e-58,-31.6249172410418
"1393","CP027619.1",723001,724000,"*",7.71896037806583e-24,1.54884204858745e-22,26.129548417684
"1401","CP027619.1",727001,728000,"*",9.20174489347327e-21,1.55757298293365e-19,29.6283160732019
"1402","CP027619.1",727501,728500,"*",2.86239156317203e-14,3.17601001576056e-13,25.1737451737452
"1478","CP027619.1",765501,766500,"*",1.40832465480835e-39,5.72396798174541e-38,-33.0661640883351
"1496","CP027619.1",774501,775500,"*",9.55960767280259e-36,3.34747713152081e-34,29.9110026762643
"1532","CP027619.1",793001,794000,"*",6.36224029729481e-81,8.57499791013399e-79,-74.3463581339812
"1533","CP027619.1",793501,794500,"*",9.92111548709634e-40,4.05498640023415e-38,-49.2302059991351
"1534","CP027619.1",794001,795000,"*",1.69394382248532e-06,8.79934898159662e-06,26.3954107566442
"1536","CP027619.1",796001,797000,"*",7.25967437816648e-10,5.53342154835205e-09,-56.687898089172
"1538","CP027619.1",797001,798000,"*",1.44674806289395e-73,1.64362033366917e-71,-26.3292957042957
"1623","CP027619.1",839501,840500,"*",4.09335842727535e-30,1.11877607800969e-28,66.1127419274591
"1724","CP027619.1",890001,891000,"*",8.05153851408856e-47,4.23807806894377e-45,-27.2847212298144
"1725","CP027619.1",890501,891500,"*",3.88510760637411e-73,4.36577110583004e-71,-39.2946439699811
"1750","CP027619.1",903001,904000,"*",8.29559862130829e-39,3.27712202910359e-37,26.9183036632362
"1751","CP027619.1",903501,904500,"*",1.45682594581537e-34,4.85684056440756e-33,25.332054309327
"1800","CP027619.1",928501,929500,"*",5.02597203185162e-10,3.89112530022327e-09,-88.2352941176471
"1830","CP027619.1",943501,944500,"*",2.1798483901168e-46,1.13102812978279e-44,-31.1555745231058
"1850","CP027619.1",953501,954500,"*",7.21926558886723e-134,2.43312451940043e-131,-41.9449394991089
"1851","CP027619.1",954001,955000,"*",2.25491348105609e-208,1.73924315369525e-205,-53.5366783512876
"1854","CP027619.1",955501,956500,"*",1.62485251763253e-31,4.74235348539036e-30,-25.37949984407
"1860","CP027619.1",958501,959500,"*",7.2774204851557e-36,2.5601628179628e-34,-28.4001759301492
